s1,v1,s2,v2,sim,lev
99,7,99,8,0.8889,3
1,2,37,182,0.9545,1
11,39,39,40,0.7647,12
1,6,37,118,0.8000,5
16,34,39,48,0.8491,8
39,48,45,33,0.9434,3
2,3,8,3,0.7222,15
2,5,31,5,1.0000,0
2,6,36,10,0.7544,14
30,37,39,52,0.9600,3
69,3,101,3,0.8500,3
86,2,101,3,0.8500,3
90,12,101,3,0.8000,4
101,3,104,5,0.8000,4
74,27,101,3,0.7500,5
83,19,101,3,0.7000,6
70,9,101,5,0.7037,8
101,6,101,8,0.8000,4
69,21,101,7,1.0000,0
74,27,101,10,0.8125,3
83,8,101,10,0.8235,3
83,19,101,10,0.7778,4
102,3,102,4,0.8235,3
78,4,102,3,0.7143,4
78,5,102,4,0.7647,4
17,48,25,9,1.0000,0
2,27,13,25,0.8220,21
16,29,39,72,0.9091,5
39,72,40,76,0.9273,4
39,1,40,2,0.9412,2
40,2,45,2,0.9412,2
40,2,46,2,0.9412,2
69,3,104,5,0.8947,2
86,2,104,5,0.7895,4
90,12,104,5,0.8421,3
83,19,104,5,0.7368,5
2,34,17,61,0.7333,20
2,35,7,19,0.8673,13
10,33,40,6,0.7451,13
2,39,2,82,0.7619,15
2,39,7,36,0.7429,18
2,39,64,10,0.7606,17
2,42,3,71,0.7419,16
2,47,2,122,1.0000,0
2,48,2,123,0.8046,17
69,34,107,3,1.0000,0
89,18,107,3,0.8519,4
2,49,7,141,0.9434,6
2,49,14,6,0.7083,42
23,2,107,5,0.8000,5
23,9,107,5,0.7241,8
70,23,107,5,0.8077,5
70,34,107,5,0.7500,7
2,52,2,56,0.7297,10
2,51,2,92,0.7031,19
11,96,40,23,1.0000,0
17,83,41,51,0.7941,14
2,58,7,161,0.7155,33
2,59,7,162,0.7766,21
109,3,109,5,1.0000,0
2,62,5,69,0.7710,30
113,1,114,1,0.8235,3
113,3,113,5,0.7368,5
2,82,7,42,0.7326,23
2,82,11,23,0.7561,20
2,95,62,7,0.9455,3
2,117,40,68,0.7119,17
26,92,40,73,0.7931,6
16,29,40,76,0.9623,2
2,107,9,116,0.7037,24
27,3,41,7,0.7091,16
31,4,41,7,0.7091,16
41,8,84,25,0.9592,2
41,8,95,6,0.9400,3
31,8,41,8,0.7708,11
19,96,41,8,0.7059,15
41,8,98,7,0.7200,14
27,53,41,18,0.9688,1
10,63,41,18,0.7742,7
2,134,2,141,1.0000,0
2,136,3,84,0.9212,13
2,147,3,60,0.8857,4
7,200,41,36,0.8710,8
18,67,18,72,0.7647,8
18,72,18,75,0.8718,5
11,110,41,45,0.9892,1
41,46,45,15,0.7333,16
2,162,3,88,0.9574,2
2,168,2,208,0.7326,23
2,170,5,104,0.7520,31
2,170,31,21,0.7232,31
18,85,18,89,0.7500,3
18,85,18,92,0.7500,3
42,4,59,1,0.8364,9
42,4,61,1,0.8364,9
4,132,42,4,0.7059,15
22,64,42,4,0.7414,15
18,89,18,92,1.0000,0
2,173,16,115,0.8347,20
18,107,19,96,0.7018,17
18,107,31,8,0.7544,14
29,22,42,31,0.8182,14
19,14,19,32,0.7647,8
19,15,19,33,0.8636,6
43,2,44,2,1.0000,0
12,2,43,3,0.9167,3
15,10,43,6,0.7059,10
15,11,43,7,0.9000,4
3,51,19,36,0.9545,2
