surah,N,intra_any,intra_strong,intra_strict,classical_1_2,classical_3_2,classical_3_1,inter_shifts,inter_strict,total_iltifat,total_strict,density,density_strict,primary_hist
1,7,3,0,1,2,1,0,2,2,5,3,0.7143,0.4286,"{""1"": 1, ""2"": 2}"
2,286,204,71,178,85,175,86,104,104,308,282,1.0769,0.9860,"{""3"": 172, ""1"": 13, ""2"": 99}"
3,200,124,41,99,44,113,49,81,81,205,180,1.0250,0.9000,"{""3"": 130, ""2"": 59, ""1"": 6}"
4,176,123,25,112,26,103,44,69,69,192,181,1.0909,1.0284,"{""2"": 39, ""3"": 128, ""1"": 9}"
5,120,95,35,85,38,80,47,53,53,148,138,1.2333,1.1500,"{""3"": 77, ""2"": 37, ""1"": 6}"
6,165,136,58,118,61,101,90,71,71,207,189,1.2545,1.1455,"{""3"": 109, ""2"": 36, ""1"": 19}"
7,206,173,79,150,83,119,129,104,104,277,254,1.3447,1.2330,"{""3"": 132, ""2"": 42, ""1"": 30}"
8,75,57,7,45,7,54,10,31,31,88,76,1.1733,1.0133,"{""2"": 21, ""3"": 52, ""1"": 1}"
9,129,75,15,64,15,71,19,39,39,114,103,0.8837,0.7984,"{""2"": 25, ""3"": 103, ""1"": 1}"
10,109,81,30,69,33,67,41,47,47,128,116,1.1743,1.0642,"{""3"": 73, ""2"": 27, ""1"": 8}"
11,123,99,56,78,59,82,70,55,55,154,133,1.2520,1.0813,"{""3"": 70, ""2"": 31, ""1"": 21}"
12,111,93,50,85,51,71,71,57,57,150,142,1.3514,1.2793,"{""2"": 19, ""1"": 19, ""3"": 72}"
13,43,22,8,16,8,19,11,8,8,30,24,0.6977,0.5581,"{""3"": 37, ""2"": 2, ""1"": 3}"
14,52,33,19,30,20,30,21,21,21,54,51,1.0385,0.9808,"{""2"": 9, ""3"": 35, ""1"": 7}"
15,99,65,20,31,29,35,41,59,59,124,90,1.2525,0.9091,"{""3"": 42, ""1"": 31, ""2"": 21}"
16,128,80,19,63,19,72,27,43,43,123,106,0.9609,0.8281,"{""3"": 97, ""2"": 28, ""1"": 3}"
17,111,98,37,86,43,73,56,67,67,165,153,1.4865,1.3784,"{""3"": 52, ""1"": 21, ""2"": 38}"
18,110,88,40,75,42,53,73,54,54,142,129,1.2909,1.1727,"{""3"": 69, ""1"": 21, ""2"": 20}"
19,98,70,26,56,27,43,52,57,56,127,112,1.2959,1.1429,"{""2"": 14, ""3"": 52, ""1"": 30}"
20,135,105,41,76,57,70,60,81,81,186,157,1.3778,1.1630,"{""2"": 38, ""3"": 71, ""1"": 25}"
21,112,89,21,70,26,38,67,67,67,156,137,1.3929,1.2232,"{""3"": 58, ""2"": 23, ""1"": 29}"
22,78,40,6,32,8,27,17,15,15,55,47,0.7051,0.6026,"{""2"": 9, ""3"": 64, ""1"": 4}"
23,118,74,22,57,31,39,48,55,55,129,112,1.0932,0.9492,"{""3"": 57, ""1"": 22, ""2"": 39}"
24,64,38,4,36,4,35,7,20,20,58,56,0.9062,0.8750,"{""1"": 3, ""2"": 14, ""3"": 46}"
25,77,43,14,35,15,28,28,29,29,72,64,0.9351,0.8312,"{""3"": 58, ""2"": 4, ""1"": 13}"
26,227,136,25,70,49,75,62,126,120,262,190,1.1542,0.8370,"{""3"": 93, ""2"": 77, ""1"": 45}"
27,93,69,24,57,25,47,45,42,42,111,99,1.1935,1.0645,"{""3"": 58, ""2"": 21, ""1"": 11}"
28,88,80,32,71,33,52,59,36,36,116,107,1.3182,1.2159,"{""3"": 57, ""1"": 15, ""2"": 14}"
29,69,52,13,42,14,30,34,26,26,78,68,1.1304,0.9855,"{""3"": 50, ""2"": 14, ""1"": 4}"
30,60,32,5,25,5,28,9,20,20,52,45,0.8667,0.7500,"{""3"": 48, ""2"": 11}"
31,34,19,10,16,10,16,13,12,12,31,28,0.9118,0.8235,"{""3"": 23, ""2"": 7, ""1"": 1}"
32,30,22,2,18,3,12,11,9,9,31,27,1.0333,0.9000,"{""3"": 21, ""2"": 4, ""1"": 3}"
33,73,54,10,44,11,48,15,28,28,82,72,1.1233,0.9863,"{""2"": 21, ""3"": 48, ""1"": 4}"
34,54,47,26,39,28,35,36,24,24,71,63,1.3148,1.1667,"{""3"": 34, ""1"": 8, ""2"": 12}"
35,45,29,5,19,5,22,12,13,13,42,32,0.9333,0.7111,"{""3"": 34, ""2"": 5, ""1"": 3}"
36,83,52,10,44,12,25,35,40,38,92,82,1.1084,0.9880,"{""2"": 15, ""3"": 48, ""1"": 14}"
37,182,70,5,30,8,28,44,86,78,156,108,0.8571,0.5934,"{""2"": 36, ""3"": 75, ""1"": 49}"
38,88,57,21,39,25,31,43,52,51,109,90,1.2386,1.0227,"{""3"": 40, ""2"": 22, ""1"": 17}"
39,75,41,10,37,13,31,17,22,22,63,59,0.8400,0.7867,"{""1"": 7, ""3"": 54, ""2"": 13}"
40,85,57,19,50,22,45,28,43,43,100,93,1.1765,1.0941,"{""3"": 51, ""2"": 16, ""1"": 15}"
41,54,37,15,32,15,26,26,18,18,55,50,1.0185,0.9259,"{""3"": 39, ""2"": 11, ""1"": 1}"
42,53,24,7,17,7,20,11,12,11,36,28,0.6792,0.5283,"{""2"": 4, ""3"": 45, ""1"": 2}"
43,89,64,21,46,24,38,44,41,41,105,87,1.1798,0.9775,"{""2"": 20, ""1"": 16, ""3"": 50}"
44,59,29,1,9,9,11,11,37,37,66,46,1.1186,0.7797,"{""1"": 12, ""3"": 24, ""2"": 15}"
45,37,23,8,19,8,19,12,13,13,36,32,0.9730,0.8649,"{""3"": 24, ""2"": 6, ""1"": 2}"
46,35,24,14,21,14,17,21,16,16,40,37,1.1429,1.0571,"{""3"": 24, ""2"": 5, ""1"": 4}"
47,38,14,3,12,4,13,3,12,12,26,24,0.6842,0.6316,"{""3"": 30, ""2"": 7, ""1"": 1}"
48,29,20,3,14,5,17,4,13,13,33,27,1.1379,0.9310,"{""1"": 3, ""3"": 21, ""2"": 5}"
49,18,14,2,13,3,13,2,8,8,22,21,1.2222,1.1667,"{""2"": 11, ""3"": 6}"
50,45,24,3,18,4,9,17,31,31,55,49,1.2222,1.0889,"{""3"": 20, ""1"": 10, ""2"": 11}"
51,60,26,2,13,3,12,15,24,23,50,36,0.8333,0.6000,"{""2"": 13, ""3"": 28, ""1"": 11}"
52,49,16,0,8,2,7,7,17,15,33,23,0.6735,0.4694,"{""2"": 11, ""3"": 27, ""1"": 3}"
53,62,8,1,5,1,8,1,13,11,21,16,0.3387,0.2581,"{""3"": 46, ""2"": 11}"
54,55,27,3,11,5,6,22,27,27,54,38,0.9818,0.6909,"{""3"": 32, ""1"": 15, ""2"": 4}"
55,78,5,0,2,1,4,0,58,58,63,60,0.8077,0.7692,"{""3"": 32, ""2"": 36, ""1"": 1}"
56,96,16,7,10,10,9,11,28,25,44,35,0.4583,0.3646,"{""3"": 24, ""2"": 25, ""1"": 10}"
57,29,19,4,16,4,15,8,12,12,31,28,1.0690,0.9655,"{""3"": 22, ""2"": 5, ""1"": 2}"
58,22,15,1,14,1,13,3,6,6,21,20,0.9545,0.9091,"{""3"": 17, ""2"": 4, ""1"": 1}"
59,24,13,4,13,4,13,4,6,6,19,19,0.7917,0.7917,"{""3"": 21, ""2"": 3}"
60,13,13,3,13,3,13,3,7,7,20,20,1.5385,1.5385,"{""2"": 4, ""3"": 8, ""1"": 1}"
61,14,9,4,6,4,9,4,6,6,15,12,1.0714,0.8571,"{""3"": 10, ""2"": 4}"
62,11,5,0,5,0,5,0,4,4,9,9,0.8182,0.8182,"{""3"": 7, ""2"": 4}"
63,11,9,2,9,2,8,3,2,2,11,11,1.0000,1.0000,"{""3"": 10, ""1"": 1}"
64,18,14,2,7,3,11,4,10,10,24,17,1.3333,0.9444,"{""3"": 8, ""2"": 9}"
65,12,10,0,8,0,8,2,5,5,15,13,1.2500,1.0833,"{""2"": 2, ""3"": 9, ""1"": 1}"
66,12,12,4,10,4,11,5,7,7,19,17,1.5833,1.4167,"{""2"": 5, ""3"": 7}"
67,30,22,4,18,5,18,7,15,15,37,33,1.2333,1.1000,"{""3"": 16, ""2"": 10, ""1"": 4}"
68,52,22,2,10,3,13,10,26,26,48,36,0.9231,0.6923,"{""3"": 27, ""2"": 15, ""1"": 7}"
69,52,20,3,7,5,12,9,25,24,45,31,0.8654,0.5962,"{""3"": 27, ""2"": 12, ""1"": 8}"
70,44,5,0,2,0,2,3,6,6,11,8,0.2500,0.1818,"{""3"": 33, ""2"": 1, ""1"": 4}"
71,28,24,7,15,7,19,12,17,17,41,32,1.4643,1.1429,"{""1"": 5, ""2"": 9, ""3"": 14}"
72,28,18,4,14,5,5,16,16,16,34,30,1.2143,1.0714,"{""3"": 16, ""1"": 9, ""2"": 3}"
73,20,11,1,5,3,8,2,10,8,21,13,1.0500,0.6500,"{""2"": 10, ""1"": 4, ""3"": 4}"
74,56,13,1,6,2,4,9,12,12,25,18,0.4464,0.3214,"{""2"": 6, ""3"": 31, ""1"": 9}"
75,40,6,1,3,1,2,5,14,13,20,16,0.5000,0.4000,"{""1"": 5, ""3"": 25, ""2"": 7}"
76,31,10,0,4,2,5,3,11,11,21,15,0.6774,0.4839,"{""3"": 19, ""1"": 7, ""2"": 5}"
77,50,10,2,4,4,5,5,22,22,32,26,0.6400,0.5200,"{""2"": 6, ""3"": 14, ""1"": 10}"
78,40,9,1,4,5,2,4,12,12,21,16,0.5250,0.4000,"{""3"": 16, ""1"": 11, ""2"": 3}"
79,46,11,1,5,2,8,3,9,9,20,14,0.4348,0.3043,"{""3"": 33, ""1"": 2, ""2"": 5}"
80,42,6,0,2,0,5,1,6,5,12,7,0.2857,0.1667,"{""3"": 27, ""2"": 2, ""1"": 3}"
81,29,2,0,1,0,2,0,7,6,9,7,0.3103,0.2414,"{""3"": 22, ""1"": 1, ""2"": 3}"
82,19,6,0,1,0,6,0,6,5,12,6,0.6316,0.3158,"{""3"": 12, ""2"": 4}"
83,36,5,0,1,0,4,1,4,4,9,5,0.2500,0.1389,"{""3"": 26, ""2"": 2}"
84,25,2,0,0,0,2,0,8,8,10,8,0.4000,0.3200,"{""3"": 21, ""2"": 3, ""1"": 1}"
