surah,verse,root_bw,root_ar,count,verse_text
24,61,byt,بيت,10,ليس على الأعمى حرج ولا على الأعرج حرج ولا على المريض حرج ولا على أنفسكم أن تأكلوا من بيوتكم أو بيوت آبائكم أو بيوت أمهاتكم أو بيوت إخوانكم أو بيوت أخواتكم أو بيوت أعمامكم أو بيوت عماتكم أو بيوت أخوالكم أو بيوت خالاتكم أو ما ملكتم مفاتحه أو صديقكم ۚ ليس عليكم جناح أن تأكلوا جميعا أو أشتاتا ۚ فإذا دخلتم بيوتا فسلموا على أنفسكم تحية من عند الله مباركة طيبة ۚ كذلك يبين الله لكم الآيات لعلكم تعقلون
2,282,ktb,كتب,9,يا أيها الذين آمنوا إذا تداينتم بدين إلى أجل مسمى فاكتبوه ۚ وليكتب بينكم كاتب بالعدل ۚ ولا يأب كاتب أن يكتب كما علمه الله ۚ فليكتب وليملل الذي عليه الحق وليتق الله ربه ولا يبخس منه شيئا ۚ فإن كان الذي عليه الحق سفيها أو ضعيفا أو لا يستطيع أن يمل هو فليملل وليه بالعدل ۚ واستشهدوا شهيدين من رجالكم ۖ فإن لم يكونا رجلين فرجل وامرأتان ممن ترضون من الشهداء أن تضل إحداهما فتذكر إحداهما الأخرى ۚ ولا يأب الشهداء إذا ما دعوا ۚ ولا تسأموا أن تكتبوه صغيرا أو كبيرا إلى أجله ۚ ذلكم أقسط عند الله وأقوم للشهادة وأدنى ألا ترتابوا ۖ إلا أن تكون تجارة حاضرة تديرونها بينكم فليس عليكم جناح ألا تكتبوها ۗ وأشهدوا إذا تبايعتم ۚ ولا يضار كاتب ولا شهيد ۚ وإن تفعلوا فإنه فسوق بكم ۗ واتقوا الله ۖ ويعلمكم الله ۗ والله بكل شيء عليم
2,233,wld,ولد,8,۞ والوالدات يرضعن أولادهن حولين كاملين ۖ لمن أراد أن يتم الرضاعة ۚ وعلى المولود له رزقهن وكسوتهن بالمعروف ۚ لا تكلف نفس إلا وسعها ۚ لا تضار والدة بولدها ولا مولود له بولده ۚ وعلى الوارث مثل ذلك ۗ فإن أرادا فصالا عن تراض منهما وتشاور فلا جناح عليهما ۗ وإن أردتم أن تسترضعوا أولادكم فلا جناح عليكم إذا سلمتم ما آتيتم بالمعروف ۗ واتقوا الله واعلموا أن الله بما تعملون بصير
2,282,$hd,شهد,7,يا أيها الذين آمنوا إذا تداينتم بدين إلى أجل مسمى فاكتبوه ۚ وليكتب بينكم كاتب بالعدل ۚ ولا يأب كاتب أن يكتب كما علمه الله ۚ فليكتب وليملل الذي عليه الحق وليتق الله ربه ولا يبخس منه شيئا ۚ فإن كان الذي عليه الحق سفيها أو ضعيفا أو لا يستطيع أن يمل هو فليملل وليه بالعدل ۚ واستشهدوا شهيدين من رجالكم ۖ فإن لم يكونا رجلين فرجل وامرأتان ممن ترضون من الشهداء أن تضل إحداهما فتذكر إحداهما الأخرى ۚ ولا يأب الشهداء إذا ما دعوا ۚ ولا تسأموا أن تكتبوه صغيرا أو كبيرا إلى أجله ۚ ذلكم أقسط عند الله وأقوم للشهادة وأدنى ألا ترتابوا ۖ إلا أن تكون تجارة حاضرة تديرونها بينكم فليس عليكم جناح ألا تكتبوها ۗ وأشهدوا إذا تبايعتم ۚ ولا يضار كاتب ولا شهيد ۚ وإن تفعلوا فإنه فسوق بكم ۗ واتقوا الله ۖ ويعلمكم الله ۗ والله بكل شيء عليم
4,12,wSy,وصي,7,۞ ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد ۚ فإن كان لهن ولد فلكم الربع مما تركن ۚ من بعد وصية يوصين بها أو دين ۚ ولهن الربع مما تركتم إن لم يكن لكم ولد ۚ فإن كان لكم ولد فلهن الثمن مما تركتم ۚ من بعد وصية توصون بها أو دين ۗ وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس ۚ فإن كانوا أكثر من ذلك فهم شركاء في الثلث ۚ من بعد وصية يوصى بها أو دين غير مضار ۚ وصية من الله ۗ والله عليم حليم
4,92,Amn,امن,7,وما كان لمؤمن أن يقتل مؤمنا إلا خطأ ۚ ومن قتل مؤمنا خطأ فتحرير رقبة مؤمنة ودية مسلمة إلى أهله إلا أن يصدقوا ۚ فإن كان من قوم عدو لكم وهو مؤمن فتحرير رقبة مؤمنة ۖ وإن كان من قوم بينكم وبينهم ميثاق فدية مسلمة إلى أهله وتحرير رقبة مؤمنة ۖ فمن لم يجد فصيام شهرين متتابعين توبة من الله ۗ وكان الله عليما حكيما
73,20,Alh,اله,7,۞ إن ربك يعلم أنك تقوم أدنى من ثلثي الليل ونصفه وثلثه وطائفة من الذين معك ۚ والله يقدر الليل والنهار ۚ علم أن لن تحصوه فتاب عليكم ۖ فاقرءوا ما تيسر من القرآن ۚ علم أن سيكون منكم مرضى ۙ وآخرون يضربون في الأرض يبتغون من فضل الله ۙ وآخرون يقاتلون في سبيل الله ۖ فاقرءوا ما تيسر منه ۚ وأقيموا الصلاة وآتوا الزكاة وأقرضوا الله قرضا حسنا ۚ وما تقدموا لأنفسكم من خير تجدوه عند الله هو خيرا وأعظم أجرا ۚ واستغفروا الله ۖ إن الله غفور رحيم
2,102,Elm,علم,6,واتبعوا ما تتلو الشياطين على ملك سليمان ۖ وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هاروت وماروت ۚ وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر ۖ فيتعلمون منهما ما يفرقون به بين المرء وزوجه ۚ وما هم بضارين به من أحد إلا بإذن الله ۚ ويتعلمون ما يضرهم ولا ينفعهم ۚ ولقد علموا لمن اشتراه ما له في الآخرة من خلاق ۚ ولبئس ما شروا به أنفسهم ۚ لو كانوا يعلمون
2,191,qtl,قتل,6,واقتلوهم حيث ثقفتموهم وأخرجوهم من حيث أخرجوكم ۚ والفتنة أشد من القتل ۚ ولا تقاتلوهم عند المسجد الحرام حتى يقاتلوكم فيه ۖ فإن قاتلوكم فاقتلوهم ۗ كذلك جزاء الكافرين
2,282,Alh,اله,6,يا أيها الذين آمنوا إذا تداينتم بدين إلى أجل مسمى فاكتبوه ۚ وليكتب بينكم كاتب بالعدل ۚ ولا يأب كاتب أن يكتب كما علمه الله ۚ فليكتب وليملل الذي عليه الحق وليتق الله ربه ولا يبخس منه شيئا ۚ فإن كان الذي عليه الحق سفيها أو ضعيفا أو لا يستطيع أن يمل هو فليملل وليه بالعدل ۚ واستشهدوا شهيدين من رجالكم ۖ فإن لم يكونا رجلين فرجل وامرأتان ممن ترضون من الشهداء أن تضل إحداهما فتذكر إحداهما الأخرى ۚ ولا يأب الشهداء إذا ما دعوا ۚ ولا تسأموا أن تكتبوه صغيرا أو كبيرا إلى أجله ۚ ذلكم أقسط عند الله وأقوم للشهادة وأدنى ألا ترتابوا ۖ إلا أن تكون تجارة حاضرة تديرونها بينكم فليس عليكم جناح ألا تكتبوها ۗ وأشهدوا إذا تبايعتم ۚ ولا يضار كاتب ولا شهيد ۚ وإن تفعلوا فإنه فسوق بكم ۗ واتقوا الله ۖ ويعلمكم الله ۗ والله بكل شيء عليم
