rank,s1,v1,s2,v2,overlap_ratio,len1,len2,common,labels,inflection_pairs,substitution_pairs,particle_diff,pron_diff,arabic1,arabic2,english1,english2
1,11,110,41,45,1.0,32,32,32,truly_identical,,,a: b:,a: b:,ولقد آتينا موسى الكتاب فاختلف فيه ۚ ولولا كلمة سبقت من ربك لقضي بينهم ۚ وإنهم لفي شك منه مريب,ولقد آتينا موسى الكتاب فاختلف فيه ۗ ولولا كلمة سبقت من ربك لقضي بينهم ۚ وإنهم لفي شك منه مريب,"And We had certainly given Moses the Scripture, but it came under disagreement. And if not for a word that preceded from your Lord, it would have been judged between them. And indeed they are, concern","And We had already given Moses the Scripture, but it came under disagreement. And if not for a word that preceded from your Lord, it would have been concluded between them. And indeed they are, concer"
2,9,33,61,9,1.0,25,25,25,truly_identical,,,a: b:,a: b:,هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون,هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون,"It is He who has sent His Messenger with guidance and the religion of truth to manifest it over all religion, although they who associate others with Allah dislike it.","It is He who sent His Messenger with guidance and the religion of truth to manifest it over all religion, although those who associate others with Allah dislike it."
3,6,10,21,41,1.0,24,24,24,truly_identical,,,a: b:,a: b:,ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون,ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون,"And already were messengers ridiculed before you, but those who mocked them were enveloped by that which they used to ridicule.","And already were messengers ridiculed before you, but those who mocked them were enveloped by what they used to ridicule."
4,9,73,66,9,1.0,22,22,22,truly_identical,,,a: b:,a: b:,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ۚ ومأواهم جهنم ۖ وبئس المصير,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ۚ ومأواهم جهنم ۖ وبئس المصير,"O Prophet, fight against the disbelievers and the hypocrites and be harsh upon them. And their refuge is Hell, and wretched is the destination.","O Prophet, strive against the disbelievers and the hypocrites and be harsh upon them. And their refuge is Hell, and wretched is the destination."
5,15,29,38,72,1.0,19,19,19,truly_identical,,,a: b:,a: b:,فإذا سويته ونفخت فيه من روحي فقعوا له ساجدين,فإذا سويته ونفخت فيه من روحي فقعوا له ساجدين,"And when I have proportioned him and breathed into him of My [created] soul, then fall down to him in prostration.""","So when I have proportioned him and breathed into him of My [created] soul, then fall down to him in prostration."""
6,59,1,61,1,1.0,18,18,18,truly_identical,,,a: b:,a: b:,سبح لله ما في السماوات وما في الأرض ۖ وهو العزيز الحكيم,سبح لله ما في السماوات وما في الأرض ۖ وهو العزيز الحكيم,"Whatever is in the heavens and whatever is on the earth exalts Allah, and He is the Exalted in Might, the Wise.","Whatever is in the heavens and whatever is on the earth exalts Allah, and He is the Exalted in Might, the Wise."
7,27,3,31,4,1.0,18,18,18,truly_identical,,,a: b:,a: b:,الذين يقيمون الصلاة ويؤتون الزكاة وهم بالآخرة هم يوقنون,الذين يقيمون الصلاة ويؤتون الزكاة وهم بالآخرة هم يوقنون,"Who establish prayer and give zakah, and of the Hereafter they are certain [in faith].","Who establish prayer and give zakah, and they, of the Hereafter, are certain [in faith]."
8,23,83,27,68,1.0,17,17,17,word_order,,,a: b:,a: b:,لقد وعدنا نحن وآباؤنا هذا من قبل إن هذا إلا أساطير الأولين,لقد وعدنا هذا نحن وآباؤنا من قبل إن هذا إلا أساطير الأولين,"We have been promised this, we and our forefathers, before; this is not but legends of the former peoples.""","We have been promised this, we and our forefathers, before. This is not but legends of the former peoples."""
9,17,48,25,9,1.0,16,16,16,truly_identical,,,a: b:,a: b:,انظر كيف ضربوا لك الأمثال فضلوا فلا يستطيعون سبيلا,انظر كيف ضربوا لك الأمثال فضلوا فلا يستطيعون سبيلا,"Look how they strike for you comparisons; but they have strayed, so they cannot [find] a way.","Look how they strike for you comparisons; but they have strayed, so they cannot [find] a way."
10,6,4,36,46,1.0,16,16,16,truly_identical,,,a: b:,a: b:,وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين,وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين,And no sign comes to them from the signs of their Lord except that they turn away therefrom.,And no sign comes to them from the signs of their Lord except that they are from it turning away.
