surah,period,verses,la,ma,lam,lan,in_neg,kayla,laysa,ghayr,total_neg,density
1,Meccan,7,1,0,0,0,0,0,0,1,2,0.2857
2,Medinan,286,144,39,21,8,1,0,9,7,229,0.8007
3,Medinan,200,55,39,7,13,0,0,8,8,130,0.6500
4,Medinan,176,59,12,26,7,4,0,5,11,124,0.7045
5,Medinan,120,41,16,14,4,1,0,3,7,86,0.7167
6,Meccan,165,68,32,14,1,11,0,8,17,151,0.9152
7,Meccan,206,61,24,14,1,3,0,3,9,115,0.5583
8,Medinan,75,16,10,3,1,2,0,1,1,34,0.4533
9,Medinan,129,62,16,14,6,1,0,1,3,103,0.7984
10,Meccan,109,56,23,5,0,5,0,0,2,91,0.8349
11,Meccan,123,30,37,3,3,6,0,7,11,97,0.7886
12,Meccan,111,22,22,7,2,4,0,0,0,57,0.5135
13,Medinan,43,14,8,3,0,0,0,1,2,28,0.6512
14,Meccan,52,10,11,5,0,2,0,0,2,30,0.5769
15,Meccan,99,5,12,2,0,1,0,2,0,22,0.2222
16,Meccan,128,45,15,4,0,0,0,1,5,70,0.5469
17,Meccan,111,28,13,4,5,4,0,2,1,57,0.5135
18,Meccan,110,21,13,14,11,1,0,0,1,61,0.5545
19,Meccan,98,10,6,11,1,2,0,0,0,30,0.3061
20,Meccan,135,37,3,7,3,2,0,0,1,53,0.3926
21,Meccan,112,32,12,1,1,3,0,0,0,49,0.4375
22,Medinan,78,12,6,6,4,0,1,2,5,36,0.4615
23,Meccan,118,20,14,4,0,5,0,0,3,46,0.3898
24,Medinan,64,15,5,13,0,0,0,6,5,44,0.6875
25,Meccan,77,20,6,8,0,4,0,0,0,38,0.4935
26,Meccan,227,19,27,7,0,7,0,0,1,61,0.2687
27,Meccan,93,20,8,4,0,2,0,0,2,36,0.3871
28,Meccan,88,33,17,7,1,1,0,0,6,65,0.7386
29,Meccan,69,10,15,3,0,0,0,3,0,31,0.4493
30,Meccan,60,15,5,4,0,2,0,0,2,28,0.4667
31,Meccan,34,11,5,4,0,0,0,1,3,24,0.7059
32,Meccan,30,10,2,2,0,0,0,0,0,14,0.4667
33,Medinan,73,27,14,7,2,1,1,2,2,56,0.7671
34,Meccan,54,20,18,1,1,3,0,0,0,43,0.7963
35,Meccan,45,23,13,3,3,4,0,0,2,48,1.0667
36,Meccan,83,22,13,7,0,5,0,1,0,48,0.5783
37,Meccan,182,11,6,1,0,1,0,0,0,19,0.1044
38,Meccan,88,5,10,1,0,4,0,0,1,21,0.2386
39,Meccan,75,17,8,5,0,0,0,4,3,37,0.4933
40,Meccan,85,19,17,7,1,1,0,2,4,51,0.6000
41,Meccan,54,18,11,2,0,0,0,0,2,33,0.6111
42,Meccan,53,9,16,1,0,1,0,1,1,29,0.5472
43,Meccan,89,11,8,0,1,3,0,1,1,25,0.2809
44,Meccan,59,5,5,1,0,1,0,0,0,12,0.2034
45,Meccan,37,12,8,2,1,2,0,0,0,25,0.6757
46,Meccan,35,12,7,4,0,2,0,3,1,29,0.8286
47,Medinan,38,6,0,2,5,0,0,0,2,15,0.3947
48,Medinan,29,6,0,4,3,0,0,2,1,16,0.5517
49,Medinan,18,3,0,4,0,0,0,0,0,7,0.3889
50,Meccan,45,0,7,1,0,0,0,0,1,9,0.2000
51,Meccan,60,3,9,0,0,0,0,0,1,13,0.2167
52,Meccan,49,9,3,0,0,0,0,0,2,14,0.2857
53,Meccan,62,5,9,2,0,4,0,2,0,22,0.3548
54,Meccan,55,0,2,0,0,0,0,0,0,2,0.0364
55,Medinan,78,7,0,2,0,0,0,0,0,9,0.1154
56,Meccan,96,12,1,0,0,0,0,1,1,15,0.1562
57,Medinan,29,10,4,2,0,0,1,0,0,17,0.5862
58,Medinan,22,6,3,8,1,1,0,1,0,20,0.9091
59,Medinan,24,14,2,2,0,0,0,0,0,18,0.7500
60,Medinan,13,11,1,2,1,0,0,0,0,15,1.1538
61,Medinan,14,4,0,0,0,0,0,0,0,4,0.2857
62,Medinan,11,2,0,2,0,0,0,0,0,4,0.3636
63,Medinan,11,5,0,1,2,0,0,0,0,8,0.7273
64,Medinan,18,1,1,1,1,0,0,0,0,4,0.2222
65,Medinan,12,3,0,1,0,0,0,0,0,4,0.3333
66,Medinan,12,2,0,1,0,0,0,0,0,3,0.2500
67,Meccan,30,1,4,2,0,2,0,0,0,9,0.3000
68,Meccan,52,3,2,1,0,0,0,0,1,7,0.1346
69,Meccan,52,8,3,2,0,0,0,1,0,14,0.2692
70,Meccan,44,2,1,0,0,0,0,1,2,6,0.1364
71,Meccan,28,7,0,4,0,0,0,0,0,11,0.3929
72,Meccan,28,8,1,0,7,1,0,0,0,17,0.6071
73,Meccan,20,1,0,0,1,0,0,0,0,2,0.1000
74,Meccan,56,4,6,2,0,2,0,0,1,15,0.2679
75,Meccan,40,5,0,1,1,0,0,1,0,8,0.2000
76,Medinan,31,4,1,1,0,0,0,0,0,6,0.1935
77,Meccan,50,5,0,3,0,0,0,0,0,8,0.1600
78,Meccan,40,7,0,1,1,0,0,0,0,9,0.2250
79,Meccan,46,0,0,1,0,0,0,0,0,1,0.0217
80,Meccan,42,1,1,1,0,0,0,0,0,3,0.0714
81,Meccan,29,1,4,0,0,1,0,0,0,6,0.2069
