pair,family,side_A,side_B,count_A_occ,count_B_occ,verses_A,verses_B,same_verse,expected_same,enrichment,adjacent_pairs,p_two_sided,p_one_sided_gt,ratio_A_to_B
heaven_vs_earth,cosmological,smw,ArD,381,461,352,440,224,24.84,9.019,107,9.292716702589445e-16,1.7956805552476957e-190,0.826
life_vs_death,metaphysical,Hyy,mwt,184,165,161,143,65,3.69,17.606,9,1.2412117869182932e-16,2.8169783914067617e-69,1.115
dunya_vs_akhira,metaphysical,dnw,Axr,133,250,128,242,57,4.97,11.475,13,4.287076265066054e-16,4.8394830222678325e-48,0.532
sun_vs_moon,cosmological,$ms,qmr,33,27,32,26,18,0.13,134.913,5,1.3376370211078722e-17,2.3358971253451872e-38,1.222
guidance_vs_misguidance,metaphysical,hdy,Dll,316,191,268,170,52,7.31,7.117,24,3.8434571681925125e-16,1.5846276326769271e-31,1.654
day_vs_night,cosmological,ywm+nhr,lyl,518,92,469,81,45,6.09,7.387,21,4.523084956107004e-16,3.820751492744324e-30,5.63
secret_vs_open,social,srr,Eln,44,16,43,16,12,0.11,108.767,0,1.5950751828626152e-16,3.836326637071402e-24,2.75
east_vs_west,cosmological,$rq,grb,17,19,17,17,10,0.05,215.779,0,1.0345841527793788e-17,1.543395540955158e-23,0.895
faith_vs_disbelief,metaphysical,Amn,kfr,879,525,723,465,126,53.91,2.337,193,1.7466221042227198e-15,5.990445650135782e-22,1.674
male_vs_female,social,*kr,Anv,292,30,264,26,16,1.1,14.536,5,2.473188340084895e-16,2.473188340084895e-16,9.733
good_vs_evil,moral,Hsn,swA,194,167,177,151,28,4.29,6.533,17,6.881243264378407e-16,6.881243264378407e-16,1.162
truth_vs_falsehood,moral,Hqq,bTl,287,36,263,34,15,1.43,10.461,10,1.4477154586449656e-12,1.4477154586449656e-12,7.972
ease_vs_difficulty,eschatological,ysr,Esr,44,12,40,12,6,0.08,77.95,4,4.2319597832010807e-11,4.2319597832010807e-11,3.667
light_vs_darkness,cosmological,nur_lemma,Zlm,43,315,33,290,14,1.53,9.123,5,5.987170039606647e-11,5.987170039606647e-11,0.137
wealthy_vs_poor,social,gny,fqr,73,14,72,14,7,0.16,43.306,3,6.538049508944186e-11,6.538049508944186e-11,5.214
seen_vs_unseen,metaphysical,$hd,gyb,160,60,123,59,11,1.16,9.452,4,1.4090386587910851e-08,1.4090386587910851e-08,2.667
remember_vs_forget,moral,*kr,nsy,292,45,264,37,12,1.57,7.661,5,1.8597270822842968e-08,1.8597270822842968e-08,6.489
first_vs_last,metaphysical,Awl,Axr,170,250,158,242,19,6.13,3.099,21,9.684781865673624e-06,9.684781865673624e-06,0.68
heaven_vs_hell,eschatological,jnn,nar_lemma,201,222,196,205,17,6.44,2.638,33,0.00022229414983449095,0.00022229414983449095,0.905
give_vs_withhold,social,Aty,mnE+bxl,549,29,486,24,7,1.87,3.742,4,0.001795812800072367,0.001795812800072367,18.931
near_vs_far,social,qrb,bEd,96,235,91,223,8,3.25,2.458,14,0.01566448089029171,0.01566448089029171,0.409
pure_vs_impure,moral,Thr,njs+rjs,31,11,26,10,1,0.04,23.985,0,0.040948780158794225,0.040948780158794225,2.818
obedience_vs_disobed,moral,TwE,ESy,129,32,118,32,2,0.61,3.303,1,0.1221002385245697,0.1221002385245697,4.031
grateful_vs_ungrateful,moral,$kr,kfr,75,525,69,465,7,5.15,1.361,10,0.35585479809078197,0.2533792430328197,0.143
speak_vs_silent,social,qwl,Smt+nSt,1722,3,1383,3,1,0.67,1.503,3,0.5287482284185089,0.5287482284185089,574.0
mercy_vs_wrath,eschatological,rHm,gDb,339,24,313,21,1,1.05,0.949,10,0.9999999999987138,0.6614884066838359,14.125
reward_vs_punishment,eschatological,Ajr,E*b,108,373,99,336,4,5.33,0.75,13,0.8206437367552425,0.7888927346459906,0.29
