global_idx,surah,verse,n_letters,rhyme_letter,topics,pct_emphatic,pct_resonant,pct_plosive,pct_fricative,pct_guttural,pct_labial
1,1,1,19,م,mercy,0.10526,0.57895,0.05263,0.21053,0.15789,0.21053
2,1,2,18,ن,,0.05556,0.55556,0.11111,0.11111,0.16667,0.16667
3,1,3,12,م,mercy,0.16667,0.66667,0.0,0.16667,0.16667,0.16667
4,1,4,12,ن,eschatology,0.0,0.66667,0.16667,0.0,0.0,0.25
5,1,5,19,ن,prayer,0.0,0.36842,0.36842,0.05263,0.21053,0.10526
6,1,6,19,م,,0.21053,0.36842,0.21053,0.15789,0.05263,0.10526
7,1,7,44,ن,,0.13636,0.52273,0.09091,0.18182,0.18182,0.15909
8,2,1,3,م,,0.0,0.66667,0.0,0.0,0.0,0.33333
9,2,2,27,ن,,0.07407,0.40741,0.2963,0.14815,0.07407,0.14815
10,2,3,47,ن,prayer,0.10638,0.59574,0.12766,0.14894,0.08511,0.2766
11,2,4,52,ن,prophets,0.05769,0.57692,0.23077,0.11538,0.15385,0.26923
12,2,5,33,ن,,0.0303,0.48485,0.24242,0.15152,0.27273,0.30303
13,2,6,47,ن,polytheism-rejection,0.06383,0.53191,0.19149,0.17021,0.21277,0.21277
14,2,7,53,م,punishment,0.07547,0.39623,0.11321,0.24528,0.28302,0.28302
15,2,8,47,ن,dialogue,0.04255,0.61702,0.14894,0.08511,0.12766,0.34043
16,2,9,49,ن,,0.02041,0.53061,0.10204,0.16327,0.20408,0.2449
17,2,10,51,ن,punishment,0.09804,0.45098,0.17647,0.21569,0.11765,0.33333
18,2,11,43,ن,creation|dialogue,0.11628,0.46512,0.16279,0.2093,0.13953,0.2093
19,2,12,29,ن,,0.03448,0.55172,0.13793,0.17241,0.17241,0.24138
20,2,13,77,ن,dialogue,0.02597,0.46753,0.19481,0.14286,0.20779,0.22078
21,2,14,73,ن,dialogue,0.05479,0.45205,0.19178,0.13699,0.17808,0.20548
22,2,15,34,ن,,0.02941,0.47059,0.14706,0.29412,0.26471,0.26471
23,2,16,57,ن,,0.07018,0.38596,0.24561,0.15789,0.12281,0.19298
24,2,17,72,ن,mercy|hell,0.11111,0.44444,0.18056,0.23611,0.125,0.25
25,2,18,19,ن,,0.10526,0.52632,0.15789,0.15789,0.15789,0.36842
26,2,19,86,ن,creation|polytheism-rejection|nature-imagery,0.12791,0.44186,0.19767,0.18605,0.16279,0.25581
27,2,20,102,ر,,0.11765,0.39216,0.22549,0.21569,0.21569,0.22549
28,2,21,53,ن,creation|prayer,0.07547,0.45283,0.26415,0.09434,0.09434,0.20755
29,2,22,99,ن,paradise|creation|nature-imagery,0.07071,0.42424,0.23232,0.14141,0.15152,0.20202
30,2,23,78,ن,prophets|legal,0.05128,0.44872,0.24359,0.14103,0.14103,0.24359
31,2,24,66,ن,hell|polytheism-rejection,0.07576,0.42424,0.19697,0.13636,0.12121,0.19697
32,2,25,145,ن,paradise|dialogue|nature-imagery,0.10345,0.42069,0.18621,0.2069,0.15862,0.21379
33,2,26,155,ن,dialogue|polytheism-rejection,0.09032,0.44516,0.16129,0.21935,0.14839,0.23226
34,2,27,82,ن,creation|legal,0.12195,0.4878,0.18293,0.19512,0.18293,0.20732
35,2,28,60,ن,polytheism-rejection,0.03333,0.48333,0.26667,0.16667,0.13333,0.28333
36,2,29,70,م,creation,0.04286,0.4,0.17143,0.21429,0.15714,0.24286
37,2,30,111,ن,creation|prophets|dialogue,0.06306,0.41441,0.25225,0.18018,0.18018,0.1982
38,2,31,70,ن,dialogue,0.07143,0.37143,0.3,0.14286,0.25714,0.18571
39,2,32,48,م,dialogue,0.02083,0.45833,0.20833,0.0625,0.16667,0.14583
40,2,33,101,ن,creation|dialogue,0.0495,0.42574,0.33663,0.09901,0.21782,0.29703
41,2,34,63,ن,prayer|dialogue|polytheism-rejection,0.04762,0.38095,0.31746,0.12698,0.11111,0.20635
42,2,35,80,ن,paradise|dialogue|nature-imagery,0.075,0.4,0.2375,0.1875,0.125,0.1625
43,2,36,86,ن,paradise|creation|dialogue,0.11628,0.37209,0.2093,0.19767,0.18605,0.23256
44,2,37,43,م,mercy,0.06977,0.39535,0.27907,0.16279,0.18605,0.25581
45,2,38,68,ن,dialogue,0.02941,0.44118,0.17647,0.19118,0.19118,0.26471
46,2,39,51,ن,hell|polytheism-rejection,0.05882,0.39216,0.23529,0.17647,0.15686,0.23529
47,2,40,69,ن,prayer,0.04348,0.43478,0.26087,0.11594,0.2029,0.26087
48,2,41,79,ن,polytheism-rejection,0.07595,0.4557,0.26582,0.08861,0.08861,0.27848
49,2,42,42,ن,,0.07143,0.42857,0.30952,0.07143,0.09524,0.28571
50,2,43,41,ن,prayer,0.09756,0.41463,0.17073,0.09756,0.17073,0.19512
51,2,44,55,ن,,0.05455,0.45455,0.32727,0.09091,0.10909,0.25455
52,2,45,47,ن,prayer,0.08511,0.40426,0.14894,0.17021,0.19149,0.14894
53,2,46,38,ن,,0.10526,0.57895,0.15789,0.15789,0.21053,0.23684
54,2,47,58,ن,prayer,0.05172,0.5,0.2069,0.06897,0.15517,0.15517
55,2,48,69,ن,,0.05797,0.44928,0.13043,0.21739,0.14493,0.21739
56,2,49,84,م,punishment,0.03571,0.5,0.2381,0.15476,0.14286,0.30952
57,2,50,50,ن,nature-imagery,0.16,0.48,0.28,0.14,0.16,0.26
58,2,51,53,ن,creation|prophets|prayer,0.03774,0.45283,0.20755,0.15094,0.18868,0.24528
59,2,52,30,ن,,0.03333,0.46667,0.23333,0.13333,0.13333,0.26667
60,2,53,37,ن,prophets,0.05405,0.40541,0.2973,0.10811,0.10811,0.21622
61,2,54,121,م,mercy|creation|prophets|prayer|dialogue,0.07438,0.40496,0.28926,0.14876,0.1405,0.28926
