surah,q_verses,total_verses,density_pct
1,0,7,0.0
2,45,286,15.73
3,31,200,15.5
4,24,176,13.64
5,18,120,15.0
6,36,165,21.82
7,41,206,19.9
8,1,75,1.33
9,17,129,13.18
10,27,109,24.77
11,16,123,13.01
12,10,111,9.01
13,7,43,16.28
14,9,52,17.31
15,2,99,2.02
16,17,128,13.28
17,14,111,12.61
18,16,110,14.55
19,15,98,15.31
20,13,135,9.63
21,17,112,15.18
22,8,78,10.26
23,14,118,11.86
24,4,64,6.25
25,10,77,12.99
26,28,227,12.33
27,28,93,30.11
28,14,88,15.91
29,9,69,13.04
30,8,60,13.33
31,6,34,17.65
32,6,30,20.0
33,0,73,0.0
34,11,54,20.37
35,8,45,17.78
36,15,83,18.07
37,26,182,14.29
38,6,88,6.82
39,16,75,21.33
40,10,85,11.76
41,8,54,14.81
42,1,53,1.89
43,13,89,14.61
44,3,59,5.08
45,2,37,5.41
46,7,35,20.0
47,7,38,18.42
48,0,29,0.0
49,2,18,11.11
50,5,45,11.11
51,5,60,8.33
52,1,49,2.04
53,7,62,11.29
54,13,55,23.64
55,17,78,21.79
56,15,96,15.62
57,6,29,20.69
58,4,22,18.18
59,1,24,4.17
60,0,13,0.0
61,5,14,35.71
62,0,11,0.0
63,1,11,9.09
64,2,18,11.11
65,0,12,0.0
66,2,12,16.67
67,13,30,43.33
68,5,52,9.62
69,3,52,5.77
70,2,44,4.55
71,2,28,7.14
72,3,28,10.71
73,1,20,5.0
74,6,56,10.71
75,7,40,17.5
76,1,31,3.23
77,5,50,10.0
78,2,40,5.0
79,6,46,13.04
80,3,42,7.14
81,2,29,6.9
82,2,19,10.53
83,4,36,11.11
84,1,25,4.0
85,1,22,4.55
86,1,17,5.88
87,0,19,0.0
88,5,26,19.23
89,3,30,10.0
90,4,20,20.0
91,0,15,0.0
92,0,21,0.0
93,1,11,9.09
94,1,8,12.5
95,2,8,25.0
96,4,19,21.05
97,1,5,20.0
98,0,8,0.0
99,1,8,12.5
100,1,11,9.09
101,3,11,27.27
102,0,8,0.0
103,0,3,0.0
104,1,9,11.11
105,2,5,40.0
106,0,4,0.0
107,1,7,14.29
108,0,3,0.0
109,0,6,0.0
110,0,3,0.0
111,0,5,0.0
112,0,4,0.0
113,0,5,0.0
114,0,6,0.0
