surah,verse,arabic,n_intg_markers,marker_lemmas,has_hamza_prefix,has_fa,has_la_neg,has_lam_neg,opens_with_hamza_intg,is_rhyme_break,question_type,formulas
2,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون,1,a-,1,0,1,0,0,0,other-question,
2,26,۞ إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين,1,maA*aA,0,1,1,0,0,1,other-question,
2,28,كيف تكفرون بالله وكنتم أمواتا فأحياكم ۖ ثم يميتكم ثم يحييكم ثم إليه ترجعون,1,kayof,0,1,0,0,0,0,kayfa-reproach-or-wonder,
2,30,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون,1,a-,1,0,1,0,0,0,other-question,
2,33,قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,1,a-,1,1,0,1,0,0,rhetorical-negation (inkārī),
2,44,۞ أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب ۚ أفلا تعقلون,2,a-,1,1,1,0,1,0,rhetorical-negation (inkārī),a-fa-lā taʿqilūn / yaʿqilūn
2,61,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال أتستبدلون الذي هو أدنى بالذي هو خير ۚ اهبطوا مصرا فإن لكم ما سألتم ۗ وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ۗ ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ۗ ذلك بما عصوا وكانوا يعتدون,1,a-,1,1,0,0,0,0,other-question,
2,67,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة ۖ قالوا أتتخذنا هزوا ۖ قال أعوذ بالله أن أكون من الجاهلين,1,a-,1,0,0,0,0,1,other-question,
2,68,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تؤمرون,1,maA,0,1,1,0,0,0,other-question,
2,69,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,1,maA,0,0,0,0,0,1,other-question,
2,70,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون,1,maA,0,0,0,0,0,0,other-question,
2,75,۞ أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,1,a-,1,1,0,0,1,0,rhetorical-affirmation (taqrīrī),
2,76,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ أفلا تعقلون,2,a-,1,1,1,0,0,0,rhetorical-negation (inkārī),a-fa-lā taʿqilūn / yaʿqilūn
2,77,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون,1,a-,1,0,1,0,1,0,rhetorical-negation (inkārī),a-wa-lā yaʿlamūn
2,80,وقالوا لن تمسنا النار إلا أياما معدودة ۚ قل أتخذتم عند الله عهدا فلن يخلف الله عهده ۖ أم تقولون على الله ما لا تعلمون,1,a-,1,1,1,0,0,0,other-question,
