surah	verse	A	D	DISPUTE	A_resid	D_resid	DISPUTE_resid	len_char	len_word	n_hapax	rarity	ar-tafsir-al-tabari	ar-tafseer-al-qurtubi	ar-tafsir-ibn-kathir	ar-tafsir-al-baghawi	ar-tafseer-tanwir-al-miqbas	ar-tafseer-al-saddi	ar-tafsir-al-wasit	ar-tafsir-muyassar
1	1	0.954598	0.043558	0.920760	3.246700	-0.872993	3.258065	22	4	0	6.393421	0.979073	0.998156	0.999759	0.976828	0.998958	0.792816	0.927197	0.963999
1	2	0.938382	0.084870	0.873477	3.140077	-0.442219	2.845871	21	4	0	6.326401	0.978111	0.999920	0.980837	0.913967	0.999759	0.851427	0.922146	0.860888
1	3	0.614747	0.335712	0.560226	2.183907	0.148797	1.572473	13	2	0	7.203575	0.747194	0.435295	0.546745	0.787123	0.969291	0.709589	0.379971	0.342768
1	4	0.860107	0.157934	0.667770	2.837772	-0.514028	1.839873	14	3	0	7.939887	0.983082	0.952935	0.901940	0.924551	0.937700	0.667094	0.810375	0.703175
1	5	0.872134	0.090663	0.855184	2.210777	-0.956800	2.216351	22	4	0	9.827357	0.918297	0.792976	0.939625	0.723861	0.993666	0.873557	0.846296	0.888791
1	6	0.851798	0.177277	0.722579	2.469957	-0.201350	1.922123	21	3	0	7.888065	0.980516	0.776379	0.965523	0.802678	0.972659	0.602149	0.919901	0.794580
1	7	0.959068	0.060034	0.807466	2.208331	-0.137871	1.659832	52	9	0	9.198654	0.946600	0.926796	0.992383	0.957425	0.994468	0.934894	0.924070	0.995911
2	1	0.843339	0.087656	0.891517	4.019116	-1.805197	3.858079	3	1	0	0.000000	0.946600	0.964641	0.997996	0.917094	0.997675	0.188502	0.903384	0.830821
2	2	0.921123	0.013771	0.866421	2.137659	-1.843064	2.184418	37	9	0	8.158130	0.958226	0.964801	0.953576	0.944596	0.993826	0.964801	0.953175	0.635985
2	3	0.978091	0.029506	0.805713	2.644796	-0.211238	1.803672	54	8	0	8.038847	0.959830	0.996873	0.958868	0.986770	0.992864	0.988053	0.959509	0.981960
2	4	0.855887	0.134060	0.611599	1.380106	-0.185217	0.789244	63	12	0	7.751709	0.786161	0.792575	0.922146	0.694676	0.950690	0.881735	0.885423	0.933691
2	5	0.782292	0.098661	0.630544	1.373138	-1.095425	1.069721	42	9	0	7.754601	0.850465	0.812460	0.868105	0.613454	0.979554	0.803801	0.841806	0.488695
2	6	0.823465	0.100545	0.668675	1.302451	-0.794626	1.115934	57	11	0	7.761583	0.933531	0.884942	0.860167	0.858884	0.987893	0.632136	0.892479	0.537684
2	7	0.874619	0.146769	0.752669	1.271965	0.109396	1.296795	68	14	0	8.482290	0.971376	0.976507	0.947162	0.843409	0.970574	0.765795	0.967367	0.554763
2	8	0.834840	0.117102	0.760756	1.582988	-0.572069	1.804197	57	11	0	6.133429	0.884782	0.929041	0.870029	0.647530	0.999599	0.921264	0.858964	0.567511
2	9	0.834600	0.072021	0.665823	1.238472	-1.120584	0.948361	58	10	0	9.035063	0.925834	0.799631	0.842768	0.872434	0.953255	0.818473	0.819676	0.644724
