root	causative_form	mutawaa_form	n_causative	divine_causative	rate_causative	n_mutawaa	divine_mutawaa	rate_mutawaa	direction	perfect_dissociation	causative_locations	mutawaa_locations
A*n	II	V	3	0	0.0	2	2	1.0	mutawaa_more_divine	True	(7:44:21:2)=N;(12:70:10:1)=N;(22:27:1:2)=N	(7:167:2:1)=D;(14:7:2:1)=D
Edd	IV	VIII	5	4	0.8	1	0	0.0	causative_more_divine	False	(8:60:1:2)=N;(9:89:1:1)=D;(33:35:25:1)=D;(58:15:1:1)=D;(65:10:1:1)=D	(33:49:18:1)=N
Sdq	II	V	4	0	0.0	4	1	0.25	mutawaa_more_divine	False	(34:20:2:1)=N;(37:105:2:1)=N;(39:33:4:2)=N;(56:57:4:1)=N	(2:280:9:1)=N;(5:45:18:1)=N;(9:75:9:2)=D;(12:88:16:2)=N
Sly	IV	VIII	3	3	1.0	2	0	0.0	causative_more_divine	True	(4:30:7:1)=D;(4:56:6:1)=D;(4:115:17:2)=D	(27:7:16:1)=N;(28:29:27:1)=N
Thr	II	V	3	0	0.0	2	1	0.5	mutawaa_more_divine	False	(2:125:17:1)=N;(22:26:11:2)=N;(74:4:2:2)=N	(5:6:21:2)=N;(9:108:20:1)=D
Zhr	IV	VI	2	1	0.5	2	0	0.0	causative_more_divine	False	(30:18:8:1)=N;(66:3:11:2)=D	(2:85:11:1)=N;(66:4:9:1)=N
bdl	II	V	9	8	0.8889	2	0	0.0	causative_more_divine	False	(4:56:11:1)=D;(7:95:2:1)=D;(10:15:16:1)=N;(16:101:2:1)=D;(25:70:9:1)=D;(34:16:6:2)=D;(56:61:3:1)=D;(70:41:3:1)=D;(76:28:7:1)=D	(4:2:5:1)=N;(33:52:9:1)=N
bdl	IV	V	1	1	1.0	2	0	0.0	causative_more_divine	True	(18:81:3:1)=D	(4:2:5:1)=N;(33:52:9:1)=N
brA	II	V	1	1	1.0	3	2	0.6667	causative_more_divine	False	(33:69:9:2)=D	(2:167:11:1)=N;(2:167:8:2)=D;(28:63:13:1)=D
brA	IV	V	1	0	0.0	3	2	0.6667	mutawaa_more_divine	False	(5:110:39:2)=N	(2:167:11:1)=N;(2:167:8:2)=D;(28:63:13:1)=D
