location	surah	verse	root	form	aspect	agreement	subject_label	subject_lemma	rule_fired	T1_object_clitic	T2_eqtb_obj	verse_text
(1:5:2:1)	1	5	Ebd	I	IMPF	1P	DIVINE		S-1P	0	1	إياك نعبد وإياك نستعين
(1:5:4:1)	1	5	Ewn	X	IMPF	1P	DIVINE		S-1P	0	1	إياك نعبد وإياك نستعين
(1:6:1:1)	1	6	hdy	I	IMPV	2MS	NONDIVINE		S-2P	1	1	اهدنا الصراط المستقيم
(1:7:3:1)	1	7	nEm	IV	PERF	2MS	NONDIVINE		S-2P	0	0	صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
(2:3:7:1)	2	3	rzq	I	PERF	1P	DIVINE		S-1P	1	1	الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
(2:6:3:1)	2	6	kfr	I	PERF	3MP	NONDIVINE	sawaA^'	S-EXPL	0	0	إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
(2:6:6:2)	2	6	n*r	IV	PERF	2MS	NONDIVINE		S-2P	1	1	إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
(2:6:9:1)	2	6	n*r	IV	IMPF	2MS	NONDIVINE		S-2P	1	1	إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
(2:7:1:1)	2	7	xtm	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم
(2:8:5:1)	2	8	Amn	IV	PERF	1P	DIVINE		S-1P	0	0	ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
(2:10:4:2)	2	10	zyd	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	1	1	في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون
(2:11:5:1)	2	11	fsd	IV	IMPF	2MP	NONDIVINE		S-2P	0	0	وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
(2:11:8:1)	2	11	qwl	I	PERF	3MP	NONDIVINE	muSoliH	S-EXPL	0	1	وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
(2:13:11:1)	2	13	Amn	IV	PERF	3MS	NONDIVINE	safiyh	S-EXPL	0	0	وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
(2:13:4:1)	2	13	Amn	IV	IMPV	2MP	NONDIVINE		S-2P	0	0	وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
(2:13:6:1)	2	13	Amn	IV	PERF	3MS	NONDIVINE	n~aAs	S-EXPL	0	0	وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
(2:13:9:2)	2	13	Amn	IV	IMPF	1P	DIVINE		S-1P	0	0	وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
(2:14:6:1)	2	14	Amn	IV	PERF	1P	DIVINE		S-1P	0	0	وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون
(2:16:7:1)	2	16	rbH	I	PERF	3FS	NONDIVINE	tija`rap	S-EXPL	0	0	أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
(2:17:10:1)	2	17	*hb	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
