column,family,kind,denominator,rho_vs_n_words,rho_vs_n_letters_rasm,rho_vs_mushaf_index,partial_rho_vs_mushaf_given_n_words,n_defined,length_dominated,note
surah,A identity,IDENTITY,,,,,,6236,IDENTITY,
verse,A identity,IDENTITY,,,,,,6236,IDENTITY,
mushaf_index,A identity,IDENTITY,,,,,,6236,IDENTITY,
n_words,B length,COUNT,,1.0,0.9846,-0.5545,,6236,IS_LENGTH,PRIMARY LENGTH VARIABLE
n_segments,B length,COUNT,,0.9794,0.9891,-0.5633,-0.1202,6236,IS_LENGTH,
n_letters_rasm,B length,COUNT,,0.9846,1.0,-0.566,-0.1373,6236,IS_LENGTH,secondary length variable; U+0670 removed
n_root_tokens,B length,COUNT,,0.9638,0.9689,-0.5378,-0.0148,6236,IS_LENGTH,denominator of the root family
n_lemma_tokens,B length,COUNT,,0.9947,0.9827,-0.5523,-0.0083,6236,IS_LENGTH,denominator of the lemma family
n_pos_segments,B length,COUNT,,0.9995,0.984,-0.5548,-0.0195,6236,IS_LENGTH,denominator of the morphology family
n_hapax_root_tokens,C hapax,COUNT,,0.0213,0.0208,0.0303,0.0506,6236,False,
frac_hapax_root_tokens,C hapax,RATE,n_root_tokens,0.0105,0.0099,0.0366,0.0512,6214,False,
n_hapax_lemma_tokens,C hapax,COUNT,,0.0995,0.1043,0.0223,0.0935,6236,False,
frac_hapax_lemma_tokens,C hapax,RATE,n_lemma_tokens,0.001,0.0065,0.0816,0.099,6216,False,
mean_log10_root_freq,D rarity,INVARIANT,,0.2333,0.2177,-0.2328,-0.1273,6214,False,
median_log10_root_freq,D rarity,INVARIANT,,0.219,0.2064,-0.2047,-0.1021,6214,False,
min_root_freq,D rarity,COUNT-LIKE,,-0.2678,-0.2751,0.0756,-0.092,6214,False,declared length-sensitive a priori by extreme-value logic
mean_root_surprisal_bits,D rarity,INVARIANT,,-0.2333,-0.2177,0.2328,0.1273,6214,False,
sum_root_surprisal_bits,D rarity,COUNT,,0.9411,0.95,-0.5116,0.0454,6214,True,length-dominated BY CONSTRUCTION; the instrument's own calibration case
frac_root_tokens_freq_le5,D rarity,RATE,n_root_tokens,0.0692,0.0702,0.023,0.0744,6214,False,
n_root_types,E repetition,COUNT,,0.9508,0.9568,-0.5277,-0.0016,6236,True,
ttr_root,E repetition,RATE,n_root_tokens,-0.517,-0.5135,0.2835,-0.0064,6214,False,declared mechanically length-dependent a priori
root_simpson_repeat,E repetition,INVARIANT,,0.4436,0.4395,-0.248,-0.0093,6095,False,length-honest counterpart of ttr_root; empty when n_root_tokens < 2
rime_pausal,F fasila,INVARIANT-CATEGORICAL,,,,,,6236,,"P2 pausal rime string; categorical -- no rho. eta^2(n_words | class) = 0.1048, eta^2(n_letters | class) = 0.1009"
rime_class_size,F fasila,INVARIANT,,0.1427,0.1657,-0.2629,-0.2231,6236,False,corpus constant keyed by the verse's own fasila
fasila_readable,F fasila,INVARIANT-BOOLEAN,,0.0979,0.0979,-0.0027,0.0623,6236,False,
share_nominal,G morphology,RATE,n_pos_segments,-0.136,-0.1025,0.1008,0.0308,6236,False,
share_verbal,G morphology,RATE,n_pos_segments,0.0562,0.09,-0.0773,-0.0555,6236,False,
share_pronominal,G morphology,RATE,n_pos_segments,0.2606,0.2346,-0.1628,-0.0228,6236,False,
share_particle,G morphology,RATE,n_pos_segments,0.0963,0.0342,-0.0278,0.0308,6236,False,
segments_per_word,G morphology,RATE,n_words,-0.0893,0.0241,-0.0459,-0.1151,6236,False,
frac_derived_stems,G morphology,RATE,n_root_tokens,0.0577,0.0971,-0.0831,-0.0615,6214,False,
struct_z_composite,H composite (SECONDARY),DERIVED,,-0.1824,-0.1836,0.2742,0.2114,6214,False,"prereg §5; secondary to the columns, never a replacement for them"
struct_z_composite_resid,H composite (SECONDARY),DERIVED,,0.2382,0.2281,0.0464,0.2221,6214,False,"prereg §5; secondary to the columns, never a replacement for them"
