surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
1,1,1,4,7,19,4,4,4,0,0.0,0,0.0,2.7740803973478108,2.5555623369393508,339,6.393421244594583,25.57368497837833,0.0,3,0.75,0.16666666666666666,Iم,551,1,1.0,0.0,0.0,0.0,1.75,0.0
1,2,2,4,7,17,4,4,4,0,0.0,0,0.0,2.794255428286135,2.9613419731907498,63,6.326401242505341,25.305604970021363,0.0,4,1.0,0.0,Iن,1293,1,1.0,0.0,0.0,0.0,1.75,0.0
1,3,3,2,4,12,2,2,2,0,0.0,0,0.0,2.530199698203082,2.530199698203082,339,7.20357539088423,14.40715078176846,0.0,1,0.5,1.0,Iم,551,1,1.0,0.0,0.0,0.0,2.0,0.0
1,4,4,3,4,11,3,3,3,0,0.0,0,0.0,2.308547872455488,2.3138672203691533,101,7.939886818118239,23.819660454354718,0.0,3,1.0,0.0,Iن,1293,1,1.0,0.0,0.0,0.0,1.3333333333333333,0.0
1,5,5,4,5,19,2,4,4,0,0.0,0,0.0,1.740362689494244,1.740362689494244,11,9.827357140495913,19.654714280991826,0.0,2,1.0,0.0,Iن,1293,1,0.0,0.5,0.5,0.0,1.25,0.5
1,6,6,3,6,18,3,3,3,0,0.0,0,0.0,2.324147843978539,2.499687082618404,45,7.888064834436375,23.664194503309126,0.0,3,1.0,0.0,Iم,551,1,0.6666666666666666,0.3333333333333333,0.0,0.0,2.0,0.3333333333333333
1,7,7,9,15,43,5,9,9,0,0.0,1,0.1111111111111111,1.9296211758498756,2.146128035678238,24,9.198654057475284,45.99327028737642,0.0,5,1.0,0.0,Iن,1293,1,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.6666666666666667,0.2
2,1,8,1,1,3,0,0,1,0,,0,,,,,,,,0,,,?الم,6,0,0.0,0.0,0.0,1.0,1.0,
2,2,9,7,11,26,4,7,7,0,0.0,0,0.0,2.2428499931015256,2.4556533942908167,36,8.158130449318689,32.632521797274755,0.0,4,1.0,0.0,Iن,1293,1,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,1.5714285714285714,0.25
2,3,10,8,19,46,6,9,9,0,0.0,0,0.0,2.2787578909704815,2.067614045113028,60,8.038846994559458,48.233081967356746,0.0,6,1.0,0.0,Uن,1751,1,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,2.375,0.5
2,4,11,12,22,52,6,11,12,0,0.0,0,0.0,2.3651949143680677,2.4668676203541096,28,7.751709418096581,46.51025650857949,0.0,5,0.8333333333333334,0.06666666666666667,Uن,1751,1,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.8333333333333333,0.6666666666666666
2,5,12,8,11,33,3,7,8,0,0.0,0,0.0,2.3643243832129537,2.499687082618404,40,7.754601259998228,23.263803779994685,0.0,3,1.0,0.0,Uن,1751,1,0.375,0.0,0.375,0.25,1.375,0.3333333333333333
2,6,13,11,18,47,5,11,11,0,0.0,0,0.0,2.3622225950938955,2.113943352306837,83,7.761583249000429,38.80791624500215,0.0,4,0.8,0.1,Uن,1751,1,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.45454545454545453,1.6363636363636365,0.6
2,7,14,12,19,51,8,11,12,0,0.0,0,0.0,2.145268341147594,2.1977854985604104,8,8.482289680489975,67.8583174439198,0.0,8,1.0,0.0,Iم,551,1,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.25,1.5833333333333333,0.0
2,8,15,11,21,48,7,10,11,0,0.0,0,0.0,2.8523457412908875,2.9439888750737717,241,6.133429399694053,42.934005797858376,0.0,6,0.8571428571428571,0.047619047619047616,Iن,1293,1,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.9090909090909092,0.2857142857142857
2,9,16,10,18,49,6,10,10,0,0.0,0,0.0,1.9788670594099145,2.038138127702109,5,9.03506277331964,54.21037663991783,0.3333333333333333,5,0.8333333333333334,0.06666666666666667,Uن,1751,1,0.2,0.4,0.1,0.3,1.8,0.3333333333333333
2,10,17,12,20,51,9,11,12,0,0.0,0,0.0,2.2517880912492383,2.225309281725863,24,8.128438729966941,73.15594856970247,0.0,8,0.8888888888888888,0.027777777777777776,Uن,1751,1,0.5,0.25,0.16666666666666666,0.08333333333333333,1.6666666666666667,0.0
2,11,18,11,17,43,5,10,12,0,0.0,0,0.0,2.618001945812849,2.663700925389648,50,6.911902637755088,34.55951318877544,0.0,4,0.8,0.1,Uن,1751,1,0.16666666666666666,0.25,0.16666666666666666,0.4166666666666667,1.5454545454545454,0.4
2,12,19,7,11,29,2,6,7,0,0.0,0,0.0,1.6505149978319906,1.6505149978319906,40,10.12582471168953,20.25164942337906,0.0,2,1.0,0.0,Uن,1751,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.5714285714285714,0.5
