surah,verse,reference,surah_name,verse_text,n_words,length_decile,decile_word_range,struct_z_composite,struct_rank,S_within_decile,n_hadith,reception_rank,R_within_decile,M,n_books,n_hadith_all17,driver_span,frac_hapax_root_tokens,mean_root_surprisal_bits,frac_root_tokens_freq_le5,rime_class_size,text_repeats,is_later_occurrence
109,1,Q 109:1,الكافرون,قُلۡ يَـٰٓأَيُّهَا ٱلۡكَٰفِرُونَ,3,1,3-5,-0.831734,5362,0.005528,55,3,0.969512,-0.963984,7,67,قل يا ايها الكافرون,0.0,5.715695334045408,0.0,1751,False,False
6,158,Q 6:158,الانعام,هَلۡ يَنظُرُونَ إِلَّآ أَن تَأۡتِيَهُمُ ٱلۡمَلَـٰٓئِكَةُ أَوۡ يَأۡتِيَ رَبُّكَ أَوۡ يَأۡتِيَ بَعۡضُ ءَايَٰتِ رَبِّكَۗ يَوۡمَ يَأۡتِي بَعۡضُ ءَايَٰتِ رَبِّكَ لَا يَنفَعُ نَفۡسًا إِيمَٰنُهَا لَمۡ تَكُنۡ ءَامَنَتۡ مِن قَبۡلُ أَوۡ كَسَبَتۡ فِيٓ إِيمَٰنِهَا خَيۡرٗاۗ قُلِ ٱنتَظِرُوٓاْ إِنَّا مُنتَظِرُونَ,37,10,26-128,-0.586315,5075,0.021536,12,43.5,0.939306,-0.917771,5,13,ينفع نفسا ايمانها لم تكن,0.0,7.084473182221983,0.0,1751,False,False
33,21,Q 33:21,الاحزاب,لَّقَدۡ كَانَ لَكُمۡ فِي رَسُولِ ٱللَّهِ أُسۡوَةٌ حَسَنَةٞ لِّمَن كَانَ يَرۡجُواْ ٱللَّهَ وَٱلۡيَوۡمَ ٱلۡأٓخِرَ وَذَكَرَ ٱللَّهَ كَثِيرٗا,17,8,17-19,-0.53921,4872,0.075726,33,7,0.978571,-0.902845,6,35,في رسول الله اسوه حسنه,0.0,7.0139457584257165,0.0,1192,False,False
6,82,Q 6:82,الانعام,ٱلَّذِينَ ءَامَنُواْ وَلَمۡ يَلۡبِسُوٓاْ إِيمَٰنَهُم بِظُلۡمٍ أُوْلَـٰٓئِكَ لَهُمُ ٱلۡأَمۡنُ وَهُم مُّهۡتَدُونَ,11,5,11-12,-0.566002,4995,0.072526,9,85.5,0.932203,-0.859678,3,9,الذين امنوا ولم يلبسوا ايمانهم,0.0,7.197765389345306,0.0,1751,False,False
9,80,Q 9:80,التوبه,ٱسۡتَغۡفِرۡ لَهُمۡ أَوۡ لَا تَسۡتَغۡفِرۡ لَهُمۡ إِن تَسۡتَغۡفِرۡ لَهُمۡ سَبۡعِينَ مَرَّةٗ فَلَن يَغۡفِرَ ٱللَّهُ لَهُمۡۚ ذَٰلِكَ بِأَنَّهُمۡ كَفَرُواْ بِٱللَّهِ وَرَسُولِهِۦۗ وَٱللَّهُ لَا يَهۡدِي ٱلۡقَوۡمَ ٱلۡفَٰسِقِينَ,25,9,20-25,-0.51326,4754,0.083333,11,51.5,0.933594,-0.85026,6,11,استغفر لهم او لا تستغفر,0.0,7.229157362456504,0.0,1293,False,False
18,72,Q 18:72,الكهف,قَالَ أَلَمۡ أَقُلۡ إِنَّكَ لَن تَسۡتَطِيعَ مَعِيَ صَبۡرٗا,8,3,7-8,-0.575894,5036.5,0.08075,8,106.5,0.922222,-0.841472,3,8,قال الم اقل انك لن,0.0,6.809350194670532,0.0,1192,False,False
33,70,Q 33:70,الاحزاب,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ ٱتَّقُواْ ٱللَّهَ وَقُولُواْ قَوۡلٗا سَدِيدٗا,8,3,7-8,-0.59253,5103,0.069331,5,188,0.9,-0.830669,5,6,اتقوا الله وقولوا قولا سديدا,0.0,6.716566805683997,0.0,1192,False,False
5,105,Q 5:105,المايده,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ عَلَيۡكُمۡ أَنفُسَكُمۡۖ لَا يَضُرُّكُم مَّن ضَلَّ إِذَا ٱهۡتَدَيۡتُمۡۚ إِلَى ٱللَّهِ مَرۡجِعُكُمۡ جَمِيعٗا فَيُنَبِّئُكُم بِمَا كُنتُمۡ تَعۡمَلُونَ,19,8,17-19,-0.549908,4923,0.067427,11,51.5,0.892857,-0.82543,4,12,يا ايها الذين امنوا عليكم,0.0,7.287524083677158,0.0,1751,False,False
6,162,Q 6:162,الانعام,قُلۡ إِنَّ صَلَاتِي وَنُسُكِي وَمَحۡيَايَ وَمَمَاتِي لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,9,4,9-10,-0.49515,4640,0.14661,14,30.5,0.971154,-0.824544,7,18,ان صلاتي ونسكي ومحياي ومماتي,0.0,7.3301608962208356,0.0,1293,False,False
65,2,Q 65:2,الطلاق,فَإِذَا بَلَغۡنَ أَجَلَهُنَّ فَأَمۡسِكُوهُنَّ بِمَعۡرُوفٍ أَوۡ فَارِقُوهُنَّ بِمَعۡرُوفٖ وَأَشۡهِدُواْ ذَوَيۡ عَدۡلٖ مِّنكُمۡ وَأَقِيمُواْ ٱلشَّهَٰدَةَ لِلَّهِۚ ذَٰلِكُمۡ يُوعَظُ بِهِۦ مَن كَانَ يُؤۡمِنُ بِٱللَّهِ وَٱلۡيَوۡمِ ٱلۡأٓخِرِۚ وَمَن يَتَّقِ ٱللَّهَ يَجۡعَل لَّهُۥ مَخۡرَجٗا,30,10,26-128,-0.398011,3907,0.176966,36,5,0.99711,-0.820144,9,54,كان يومن بالله واليوم الاخر,0.0,7.8014564960985755,0.0,1192,False,False
