surah,verse,fasila_2char,fasila_3char,ends_in_letter
1,1,يم,حيم,م
1,2,ين,مين,ن
1,3,يم,حيم,م
1,4,ين,دين,ن
1,5,ين,عين,ن
1,6,يم,قيم,م
1,7,ين,لين,ن
2,1,لم,الم,م
2,2,ين,قين,ن
2,3,ون,قون,ن
2,4,ون,نون,ن
2,5,ون,حون,ن
2,6,ون,نون,ن
2,7,يم,ظيم,م
2,8,ين,نين,ن
2,9,ون,رون,ن
2,10,ون,بون,ن
2,11,ون,حون,ن
2,12,ون,رون,ن
2,13,ون,مون,ن
2,14,ون,ءون,ن
2,15,ون,هون,ن
2,16,ين,دين,ن
2,17,ون,رون,ن
2,18,ون,عون,ن
2,19,ين,رين,ن
2,20,ير,دير,ر
2,21,ون,قون,ن
2,22,ون,مون,ن
2,23,ين,قين,ن
2,24,ين,رين,ن
2,25,ون,دون,ن
2,26,ين,قين,ن
2,27,ون,رون,ن
2,28,ون,عون,ن
2,29,يم,ليم,م
2,30,ون,مون,ن
2,31,ين,قين,ن
2,32,يم,كيم,م
2,33,ون,مون,ن
2,34,ين,رين,ن
2,35,ين,مين,ن
2,36,ين,حين,ن
2,37,يم,حيم,م
2,38,ون,نون,ن
2,39,ون,دون,ن
2,40,ون,بون,ن
2,41,ون,قون,ن
2,42,ون,مون,ن
2,43,ين,عين,ن
2,44,ون,لون,ن
2,45,ين,عين,ن
2,46,ون,عون,ن
2,47,ين,مين,ن
2,48,ون,رون,ن
2,49,يم,ظيم,م
2,50,ون,رون,ن
2,51,ون,مون,ن
2,52,ون,رون,ن
2,53,ون,دون,ن
2,54,يم,حيم,م
2,55,ون,رون,ن
2,56,ون,رون,ن
2,57,ون,مون,ن
2,58,ين,نين,ن
2,59,ون,قون,ن
2,60,ين,دين,ن
2,61,ون,دون,ن
2,62,ون,نون,ن
2,63,ون,قون,ن
2,64,ين,رين,ن
2,65,ين,سين,ن
2,66,ين,قين,ن
2,67,ين,لين,ن
2,68,ون,رون,ن
2,69,ين,رين,ن
2,70,ون,دون,ن
2,71,ون,لون,ن
2,72,ون,مون,ن
2,73,ون,لون,ن
2,74,ون,لون,ن
2,75,ون,مون,ن
2,76,ون,لون,ن
2,77,ون,نون,ن
2,78,ون,نون,ن
2,79,ون,بون,ن
2,80,ون,مون,ن
2,81,ون,دون,ن
2,82,ون,دون,ن
2,83,ون,ضون,ن
2,84,ون,دون,ن
2,85,ون,لون,ن
2,86,ون,رون,ن
2,87,ون,لون,ن
2,88,ون,نون,ن
2,89,ين,رين,ن
2,90,ين,هين,ن
2,91,ين,نين,ن
2,92,ون,مون,ن
2,93,ين,نين,ن
2,94,ين,قين,ن
2,95,ين,مين,ن
2,96,ون,لون,ن
2,97,ين,نين,ن
2,98,ين,رين,ن
2,99,ون,قون,ن
2,100,ون,نون,ن
2,101,ون,مون,ن
2,102,ون,مون,ن
2,103,ون,مون,ن
2,104,يم,ليم,م
2,105,يم,ظيم,م
2,106,ير,دير,ر
2,107,ير,صير,ر
2,108,يل,بيل,ل
2,109,ير,دير,ر
2,110,ير,صير,ر
2,111,ين,قين,ن
2,112,ون,نون,ن
2,113,ون,فون,ن
2,114,يم,ظيم,م
2,115,يم,ليم,م
2,116,ون,تون,ن
2,117,ون,كون,ن
2,118,ون,نون,ن
2,119,يم,حيم,م
2,120,ير,صير,ر
2,121,ون,رون,ن
2,122,ين,مين,ن
2,123,ون,رون,ن
2,124,ين,مين,ن
2,125,ود,جود,د
2,126,ير,صير,ر
2,127,يم,ليم,م
2,128,يم,حيم,م
2,129,يم,كيم,م
2,130,ين,حين,ن
2,131,ين,مين,ن
2,132,ون,مون,ن
2,133,ون,مون,ن
2,134,ون,لون,ن
2,135,ين,كين,ن
2,136,ون,مون,ن
2,137,يم,ليم,م
2,138,ون,دون,ن
2,139,ون,صون,ن
2,140,ون,لون,ن
2,141,ون,لون,ن
2,142,يم,قيم,م
2,143,يم,حيم,م
2,144,ون,لون,ن
2,145,ين,مين,ن
2,146,ون,مون,ن
2,147,ين,رين,ن
2,148,ير,دير,ر
2,149,ون,لون,ن
2,150,ون,دون,ن
2,151,ون,مون,ن
2,152,ون,رون,ن
2,153,ين,رين,ن
2,154,ون,رون,ن
2,155,ين,رين,ن
2,156,ون,عون,ن
2,157,ون,دون,ن
2,158,يم,ليم,م
2,159,ون,نون,ن
2,160,يم,حيم,م
2,161,ين,عين,ن
2,162,ون,رون,ن
2,163,يم,حيم,م
2,164,ون,لون,ن
2,165,اب,ذاب,ب
2,166,اب,باب,ب
2,167,ار,نار,ر
2,168,ين,بين,ن
2,169,ون,مون,ن
2,170,ون,دون,ن
2,171,ون,لون,ن
2,172,ون,دون,ن
2,173,يم,حيم,م
2,174,يم,ليم,م
2,175,ار,نار,ر
2,176,يد,عيد,د
2,177,ون,قون,ن
2,178,يم,ليم,م
2,179,ون,قون,ن
2,180,ين,قين,ن
2,181,يم,ليم,م
2,182,يم,حيم,م
2,183,ون,قون,ن
2,184,ون,مون,ن
2,185,ون,رون,ن
2,186,ون,دون,ن
2,187,ون,قون,ن
2,188,ون,مون,ن
2,189,ون,حون,ن
2,190,ين,دين,ن
2,191,ين,رين,ن
2,192,يم,حيم,م
2,193,ين,مين,ن
2,194,ين,قين,ن
2,195,ين,نين,ن
2,196,اب,قاب,ب
2,197,بب,لبب,ب
2,198,ين,لين,ن
2,199,يم,حيم,م
2,200,لق,خلق,ق
2,201,ار,نار,ر
2,202,اب,ساب,ب
2,203,ون,رون,ن
2,204,ام,صام,م
2,205,اد,ساد,د
2,206,اد,هاد,د
2,207,اد,باد,د
2,208,ين,بين,ن
2,209,يم,كيم,م
2,210,ور,مور,ر
2,211,اب,قاب,ب
2,212,اب,ساب,ب
2,213,يم,قيم,م
2,214,يب,ريب,ب
2,215,يم,ليم,م
2,216,ون,مون,ن
2,217,ون,دون,ن
2,218,يم,حيم,م
2,219,ون,رون,ن
2,220,يم,كيم,م
2,221,ون,رون,ن
2,222,ين,رين,ن
2,223,ين,نين,ن
2,224,يم,ليم,م
2,225,يم,ليم,م
2,226,يم,حيم,م
2,227,يم,ليم,م
2,228,يم,كيم,م
2,229,ون,مون,ن
2,230,ون,مون,ن
2,231,يم,ليم,م
2,232,ون,مون,ن
2,233,ير,صير,ر
2,234,ير,بير,ر
2,235,يم,ليم,م
2,236,ين,نين,ن
2,237,ير,صير,ر
2,238,ين,تين,ن
2,239,ون,مون,ن
2,240,يم,كيم,م
2,241,ين,قين,ن
2,242,ون,لون,ن
2,243,ون,رون,ن
2,244,يم,ليم,م
2,245,ون,عون,ن
2,246,ين,مين,ن
2,247,يم,ليم,م
2,248,ين,نين,ن
2,249,ين,رين,ن
2,250,ين,رين,ن
2,251,ين,مين,ن
2,252,ين,لين,ن
2,253,يد,ريد,د
2,254,ون,مون,ن
2,255,يم,ظيم,م
2,256,يم,ليم,م
2,257,ون,دون,ن
2,258,ين,مين,ن
2,259,ير,دير,ر
2,260,يم,كيم,م
2,261,يم,ليم,م
2,262,ون,نون,ن
2,263,يم,ليم,م
2,264,ين,رين,ن
2,265,ير,صير,ر
2,266,ون,رون,ن
2,267,يد,ميد,د
2,268,يم,ليم,م
2,269,بب,لبب,ب
2,270,ار,صار,ر
2,271,ير,بير,ر
2,272,ون,مون,ن
2,273,يم,ليم,م
2,274,ون,نون,ن
2,275,ون,دون,ن
2,276,يم,ثيم,م
2,277,ون,نون,ن
2,278,ين,نين,ن
2,279,ون,مون,ن
2,280,ون,مون,ن
2,281,ون,مون,ن
2,282,يم,ليم,م
2,283,يم,ليم,م
2,284,ير,دير,ر
2,285,ير,صير,ر
2,286,ين,رين,ن
3,1,لم,الم,م
3,2,وم,يوم,م
3,3,يل,جيل,ل
3,4,ام,قام,م
3,5,اء,ماء,ء
3,6,يم,كيم,م
3,7,بب,لبب,ب
3,8,اب,هاب,ب
3,9,اد,عاد,د
3,10,ار,نار,ر
3,11,اب,قاب,ب
3,12,اد,هاد,د
3,13,صر,بصر,ر
3,14,اب,ماب,ب
3,15,اد,باد,د
3,16,ار,نار,ر
3,17,ار,حار,ر
3,18,يم,كيم,م
3,19,اب,ساب,ب
3,20,اد,باد,د
3,21,يم,ليم,م
3,22,ين,رين,ن
3,23,ون,ضون,ن
3,24,ون,رون,ن
3,25,ون,مون,ن
3,26,ير,دير,ر
3,27,اب,ساب,ب
3,28,ير,صير,ر
3,29,ير,دير,ر
3,30,اد,باد,د
3,31,يم,حيم,م
3,32,ين,رين,ن
3,33,ين,مين,ن
3,34,يم,ليم,م
3,35,يم,ليم,م
3,36,يم,جيم,م
3,37,اب,ساب,ب
3,38,اء,عاء,ء
3,39,ين,حين,ن
3,40,اء,شاء,ء
3,41,كر,بكر,ر
3,42,ين,مين,ن
3,43,ين,عين,ن
3,44,ون,مون,ن
3,45,ين,بين,ن
3,46,ين,حين,ن
3,47,ون,كون,ن
3,48,يل,جيل,ل
3,49,ين,نين,ن
3,50,ون,عون,ن
3,51,يم,قيم,م
