addressee,total,meccan,medinan,n_surahs,surahs
O_believers,89,0,89,20,"2,3,4,5,8,9,22,24,33,47,49,57,58,59,60,61,62,63,64,66"
O_my_people,49,45,4,17,"2,5,6,7,10,11,20,23,27,29,36,39,40,43,46,61,71"
O_Moses,24,20,4,7,"2,5,7,17,20,27,28"
O_people,20,10,10,9,"2,4,7,10,22,27,31,35,49"
O_would_that_LAMENT,13,11,2,12,"4,6,18,19,25,28,33,36,43,69,78,89"
O_Prophet,13,0,13,6,"8,9,33,60,65,66"
O_People_of_Book,12,0,12,3,"3,4,5"
O_woe_LAMENT,10,9,1,8,"5,11,18,21,25,36,37,68"
O_my_son,9,8,1,5,"2,11,12,31,37"
O_my_father,8,8,0,4,"12,19,28,37"
O_children_of_Israel,6,1,5,4,"2,5,20,61"
O_our_father,6,6,0,1,12
O_Adam,5,3,2,3,"2,7,20"
O_Mary,5,1,4,2,"3,19"
O_children_of_Adam,5,5,0,2,"7,36"
O_chiefs,5,5,0,3,"12,27,28"
O_people_of_understanding,4,0,4,3,"2,5,65"
O_my_Lord,4,3,1,4,"3,10,25,43"
O_Jesus,4,0,4,2,"3,5"
O_Noah,4,4,0,2,"11,26"
O_Abraham,4,4,0,4,"11,19,21,37"
O_regret_LAMENT,3,3,0,3,"6,36,39"
O_company,3,2,1,2,"6,55"
O_Shuayb,3,3,0,2,"7,11"
O_Pharaoh,3,3,0,3,"7,17,26"
O_servants,3,3,0,2,"39,43"
O_messenger_sing,2,0,2,1,5
O_Salih,2,2,0,2,"7,11"
O_Lot,2,2,0,2,"11,26"
O_two_companions_prison,2,2,0,1,12
O_Aziz,2,2,0,1,12
O_Iblis,2,2,0,2,"15,38"
O_DhulQarnayn,2,2,0,1,18
O_Haman,2,2,0,2,"28,40"
O_My_servants,2,2,0,2,"29,39"
O_wives_of_Prophet,2,0,2,1,33
O_Human,2,2,0,2,"82,84"
O_earth,1,1,0,1,11
O_sky,1,1,0,1,11
O_Hud,1,1,0,1,11
O_good_news,1,1,0,1,12
O_sorrow_LAMENT,1,1,0,1,12
O_Zechariah,1,1,0,1,19
O_John,1,1,0,1,19
O_sister_of_Aaron,1,1,0,1,19
O_Aaron,1,1,0,1,20
O_son_of_mother,1,1,0,1,20
O_Samiri,1,1,0,1,20
O_fire,1,1,0,1,21
O_messengers,1,1,0,1,23
O_ants,1,1,0,1,27
O_people_of_Yathrib,1,0,1,1,33
O_mountains,1,1,0,1,34
O_Solomon,1,1,0,1,38
O_David,1,1,0,1,38
O_sorcerer,1,1,0,1,43
O_Malik,1,1,0,1,43
O_people_of_vision,1,0,1,1,59
O_Muzzammil,1,1,0,1,73
O_Muddaththir,1,1,0,1,74
O_soul_FEM,1,1,0,1,89
O_disbelievers,1,1,0,1,109
