count,kind,n_items,items_buckwalter,items_arabic,pos_summary,sample_translations
382,lemma,2,Ealima | 'aAyap,عَلِمَ | ءَايَة,Ealima=V; 'aAyap=N,"Ealima: And when it is said to them, ""Believe as the people have believed,"" they say, ""S || 'aAyap: And those who disbelieve and deny Our signs - those will be companions of the Fi"
271,lemma,2,A^taY | ra'aA,ا^تَى | رَءَا,A^taY=V; ra'aA=V,"A^taY: And establish prayer and give zakah and bow with those who bow [in worship and o || ra'aA: And [recall] when you said, ""O Moses, we will never believe you until we see All"
201,root,2,jnn | End,جنن | عند,,
194,root,2,nwr | Hsn,نور | حسن,,
184,root,2,bny | Hyy,بني | حيي,,
176,lemma,2,ka*~aba | sabiyl,كَذَّبَ | سَبِيل,ka*~aba=V; sabiyl=N,ka*~aba: And those who disbelieve and deny Our signs - those will be companions of the Fi || sabiyl: Or do you intend to ask your Messenger as Moses was asked before? And whoever ex
170,root,2,Awl | qtl,اول | قتل,,
168,root,2,qlb | $rk,قلب | شرك,,
167,root,2,kvr | swA,كثر | سوا,,
166,lemma,2,{t~aqaY` | >amor,ٱتَّقَىٰ | أَمْر,{t~aqaY`=V; >amor=N,"{t~aqaY`: O mankind, worship your Lord, who created you and those before you, that you may || >amor: Many of the People of the Scripture wish they could turn you back to disbelief a"
160,root,2,$hd | nbA,شهد | نبا,,
158,root,2,bED | nSr,بعض | نصر,,
148,root,2,bSr | rwd,بصر | رود,,
147,lemma,3,gayor | jan~ap | <ila`h,غَيْر | جَنَّة | إِلَٰه,gayor=N; jan~ap=N; <ila`h=N,"gayor: The path of those upon whom You have bestowed favor, not of those who have evoke || jan~ap: And give good tidings to those who believe and do righteous deeds that they will || <ila`h: Or were you witnesses when death approached Jacob, when he said to his sons, ""Wh"
144,lemma,2,hadaY | duwn,هَدَى | دُون,hadaY=V; duwn=N,hadaY: Guide us to the straight path - || duwn: And if you are in doubt about what We have sent down upon Our Servant [Muhammad]
140,root,2,nEm | slm,نعم | سلم,,
136,lemma,2,muwsaY` | {t~abaEa,مُوسَىٰ | ٱتَّبَعَ,muwsaY`=PN; {t~abaEa=V,muwsaY`: And [recall] when We made an appointment with Moses for forty nights. Then you t || {t~abaEa: And they followed [instead] what the devils had recited during the reign of Solo
129,lemma,2,ka`firuwn | ZaAlim,كَٰفِرُون | ظَالِم,ka`firuwn=N; ZaAlim=N,"ka`firuwn: Or [it is] like a rainstorm from the sky within which is darkness, thunder and l || ZaAlim: And We said, ""O Adam, dwell, you and your wife, in Paradise and eat therefrom in"
129,root,4,jmE | nZr | sAl | TwE,جمع | نظر | سال | طوع,,
127,lemma,3,>axa*a | bal | >ahol,أَخَذَ | بَل | أَهْل,>axa*a=V; bal=RET; >ahol=N,">axa*a: And fear a Day when no soul will suffice for another soul at all, nor will inter || bal: And they said, ""Our hearts are wrapped."" But, [in fact], Allah has cursed them f || >ahol: Neither those who disbelieve from the People of the Scripture nor the polytheist"
127,root,2,xlf | Ahl,خلف | اهل,,
123,root,2,rzq | b$r,رزق | بشر,,
120,lemma,2,EaZiym | yad,عَظِيم | يَد,EaZiym=ADJ; yad=N,"EaZiym: Allah has set a seal upon their hearts and upon their hearing, and over their vi || yad: And We made it a deterrent punishment for those who were present and those who s"
119,root,2,Amm | Ezz,امم | عزز,,
109,root,2,Akl | Hsb,اكل | حسب,,
108,root,2,fEl | Ajr,فعل | اجر,,
106,lemma,3,lan | sa>ala | wajada,لَن | سَأَلَ | وَجَدَ,lan=NEG; sa>ala=V; wajada=V,"lan: But if you do not - and you will never be able to - then fear the Fire, whose fu || sa>ala: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || wajada: And you will surely find them the most greedy of people for life - [even] more t"
105,lemma,2,Eilom | >ajor,عِلْم | أَجْر,Eilom=N; >ajor=N,"Eilom: They said, ""Exalted are You; we have no knowledge except what You have taught us || >ajor: Indeed, those who believed and those who were Jews or Christians or Sabeans [bef"
104,root,2,rjE | fDl,رجع | فضل,,
102,root,3,A*n | $dd | wld,اذن | شدد | ولد,,
97,root,2,SHb | Ans,صحب | انس,,
96,root,3,qrb | bgy | Axw,قرب | بغي | اخو,,
93,lemma,3,>akala | *uw | hal,أَكَلَ | ذُو | هَل,>akala=V; *uw=N; hal=INTG,">akala: And We said, ""O Adam, dwell, you and your wife, in Paradise and eat therefrom in || *uw: And [recall] when We took the covenant from the Children of Israel, [enjoining u || hal: Do they await but that Allah should come to them in covers of clouds and the ang"
92,lemma,2,diyn | qawol,دِين | قَوْل,diyn=N; qawol=N,diyn: Sovereign of the Day of Recompense. || qawol: But those who wronged changed [those words] to a statement other than that which
92,root,3,sbH | sjd | lyl,سبح | سجد | ليل,,
88,lemma,4,$ayoTa`n | maval | faEala | malak,شَيْطَٰن | مَثَل | فَعَلَ | مَلَك,$ayoTa`n=PN; maval=N; faEala=V; malak=N,"$ayoTa`n: And when they meet those who believe, they say, ""We believe""; but when they are  || maval: Their example is that of one who kindled a fire, but when it illuminated what wa || faEala: But if you do not - and you will never be able to - then fear the Fire, whose fu || malak: And [mention, O Muhammad], when your Lord said to the angels, ""Indeed, I will ma"
88,root,2,$Tn | qrA,شطن | قرا,,
87,root,2,xld | twb,خلد | توب,,
86,lemma,2,waliY~ | maAl,وَلِىّ | مَال,waliY~=N; maAl=N,waliY~: Do you not know that to Allah belongs the dominion of the heavens and the earth  || maAl: And We will surely test you with something of fear and hunger and a loss of weal
84,lemma,3,*akara | faDol | layol,ذَكَرَ | فَضْل | لَيْل,*akara=V; faDol=N; layol=N,"*akara: O Children of Israel, remember My favor which I have bestowed upon you and fulfi || faDol: Then you turned away after that. And if not for the favor of Allah upon you and  || layol: Indeed, in the creation of the heavens and earth, and the alternation of the nig"
83,lemma,4,Salaw`p | kayof | qatala | xaAfa,صَلَوٰة | كَيْف | قَتَلَ | خَافَ,Salaw`p=N; kayof=INTG; qatala=V; xaAfa=V,"Salaw`p: Who believe in the unseen, establish prayer, and spend out of what We have provi || kayof: How can you disbelieve in Allah when you were lifeless and He brought you to lif || qatala: And [recall] when Moses said to his people, ""O my people, indeed you have wronge || xaAfa: But if one fears from the bequeather [some] error or sin and corrects that which"
83,root,3,swy | kyf | Hrm,سوي | كيف | حرم,,
