rank,buckwalter,arabic,count,root_buck,root_arabic
1,min,مِن,3226,,
2,{ll~ah,ٱللَّه,2699,Alh,اله
3,maA,مَا,2565,,
4,laA,لَا,1738,,
5,fiY,فِى,1701,,
6,<in~,إِنّ,1682,,
7,qaAla,قَالَ,1618,qwl,قول
8,{l~a*iY,ٱلَّذِى,1464,,
9,EalaY`,عَلَىٰ,1445,,
10,kaAna,كَانَ,1358,kwn,كون
11,rab~,رَبّ,975,rbb,ربب
12,man,مَن,871,,
13,<ilaY`,إِلَىٰ,742,,
14,<in,إِن,697,,
15,<il~aA,إِلَّا,663,,
16,>an,أَن,625,,
17,'aAmana,ءَامَنَ,537,Amn,امن
18,*a`lik,ذَٰلِك,520,,
19,Ean,عَن,465,,
20,>aroD,أَرْض,461,ArD,ارض
21,<i*aA,إِذَا,409,,
22,qad,قَد,406,,
23,yawom,يَوْم,405,ywm,يوم
24,qawom,قَوْم,383,qwm,قوم
25,Ealima,عَلِمَ,382,Elm,علم
26,'aAyap,ءَايَة,382,Ayy,ايي
27,>an~,أَنّ,362,,
28,kul~,كُلّ,359,kll,كلل
29,lam,لَم,353,,
30,jaEala,جَعَلَ,340,jEl,جعل
31,vum~,ثُمّ,338,,
32,rasuwl,رَسُول,332,rsl,رسل
33,Ea*aAb,عَذَاب,322,E*b,عذب
34,ha`*aA,هَٰذَا,318,,
35,samaA^',سَمَا^ء,310,smw,سمو
36,nafos,نَفْس,295,nfs,نفس
37,kafara,كَفَرَ,289,kfr,كفر
38,$aYo',شَىْء,283,$yA,شيا
39,>aw,أَو,280,,
40,jaA^'a,جَا^ءَ,278,jyA,جيا
41,Eamila,عَمِلَ,276,Eml,عمل
42,A^taY,ا^تَى,271,Aty,اتي
43,ra'aA,رَءَا,271,rAy,راي
44,bayon,بَيْن,266,byn,بين
45,>ataY,أَتَى,264,Aty,اتي
46,kita`b,كِتَٰب,260,ktb,كتب
47,Haq~,حَقّ,247,Hqq,حقق
48,qabol,قَبْل,242,qbl,قبل
49,n~aAs,نَّاس,241,nws,نوس
50,<i*,إِذ,239,,
51,$aA^'a,شَا^ءَ,236,$yA,شيا
52,>uwla`^}ik,أُولَٰ^ئِك,204,,
53,mu&omin,مُؤْمِن,202,Amn,امن
54,law,لَو,201,,
55,baEod,بَعْد,199,bEd,بعد
56,Eind,عِند,197,End,عند
57,xalaqa,خَلَقَ,184,xlq,خلق
58,>anzala,أَنزَلَ,183,nzl,نزل
59,xayor,خَيْر,178,xyr,خير
60,ka*~aba,كَذَّبَ,176,k*b,كذب
61,sabiyl,سَبِيل,176,sbl,سبل
62,daEaA,دَعَا,170,dEw,دعو
63,{t~aqaY`,ٱتَّقَىٰ,166,wqy,وقي
64,>amor,أَمْر,166,Amr,امر
65,Ealiym,عَلِيم,163,Elm,علم
66,maE,مَع,159,,
67,baEoD,بَعْض,157,bED,بعض
68,lam~aA,لَمَّا,156,,
69,A^xir,ا^خِر,155,Axr,اخر
70,>ay~uhaA,أَيُّهَا,153,,
71,gayor,غَيْر,147,gyr,غير
72,jan~ap,جَنَّة,147,jnn,جنن
73,<ila`h,إِلَٰه,147,Alh,اله
74,naAr,نَار,145,nwr,نور
75,hadaY,هَدَى,144,hdy,هدي
76,duwn,دُون,144,dwn,دون
77,Hat~aY`,حَتَّىٰ,142,,
78,>araAda,أَرَادَ,139,rwd,رود
79,>am,أَم,137,,
80,muwsaY`,مُوسَىٰ,136,,
81,{t~abaEa,ٱتَّبَعَ,136,tbE,تبع
82,qalob,قَلْب,132,qlb,قلب
83,Eabod,عَبْد,131,Ebd,عبد
84,>arosala,أَرْسَلَ,130,rsl,رسل
85,ka`firuwn,كَٰفِرُون,129,kfr,كفر
86,ZaAlim,ظَالِم,129,Zlm,ظلم
87,>axa*a,أَخَذَ,127,Ax*,اخذ
88,bal,بَل,127,,
89,>ahol,أَهْل,127,Ahl,اهل
90,{t~axa*a,ٱتَّخَذَ,124,Ax*,اخذ
91,laEal~,لَعَلّ,123,,
