count,kind,item_buck,item_arabic,pos_summary,sample_translations
382,lemma,Ealima,عَلِمَ,V:382,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not. || [He] who made for you the earth a bed [spread out] and the sky a ceiling and sent down from the s"
382,lemma,'aAyap,ءَايَة,N:382,"And those who disbelieve and deny Our signs - those will be companions of the Fire; they will abide therein eternally."" || And believe in what I have sent down confirming that which is [already] with you, and be not the first to disbelieve in it. And do not exchange My signs for a small price, and f"
271,lemma,A^taY,ا^تَى,V:271,And establish prayer and give zakah and bow with those who bow [in worship and obedience]. || And [recall] when We gave Moses the Scripture and criterion that perhaps you would be guided.
271,lemma,ra'aA,رَءَا,V:271,"And [recall] when you said, ""O Moses, we will never believe you until we see Allah outright""; so the thunderbolt took you while you were looking on. || We have certainly seen the turning of your face, [O Muhammad], toward the heaven, and We will surely turn you to a qiblah with which you will be ple"
201,root,jnn,جنن,,"And give good tidings to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. Whenever they are provided with a provision of fruit therefrom, they will say, ""This is what we were provided with before."" And it is given to them in likeness. And "
201,root,End,عند,,"And [recall] when Moses said to his people, ""O my people, indeed you have wronged yourselves by your taking of the calf [for worship]. So repent to your Creator and kill yourselves. That is best for [all of] you in the sight of your Creator."" Then He accepted your repentance; indeed, He is the Accep"
194,root,nwr,نور,,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see. || Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light an"
194,root,Hsn,حسن,,"And [recall] when We said, ""Enter this city and eat from it wherever you will in [ease and] abundance, and enter the gate bowing humbly and say, 'Relieve us of our burdens.' We will [then] forgive your sins for you, and We will increase the doers of good [in goodness and reward]."" || And [recall] wh"
184,root,bny,بني,,"[He] who made for you the earth a bed [spread out] and the sky a ceiling and sent down from the sky, rain and brought forth thereby fruits as provision for you. So do not attribute to Allah equals while you know [that there is nothing similar to Him]. || O Children of Israel, remember My favor which"
184,root,Hyy,حيي,,"Indeed, Allah is not timid to present an example - that of a mosquito or what is smaller than it. And those who have believed know that it is the truth from their Lord. But as for those who disbelieve, they say, ""What did Allah intend by this as an example?"" He misleads many thereby and guides many "
