ratio,lemma_a_buck,count_a,lemma_b_buck,count_b,lemma_a_arabic,lemma_b_arabic
2:1,r~aHiym,116,Sabara,58,رَّحِيم,صَبَرَ
2:1,r~aHiym,116,na*iyr,58,رَّحِيم,نَذِير
2:1,diyn,92,$akara,46,دِين,شَكَرَ
2:1,diyn,92,nab~a>a,46,دِين,نَبَّأَ
2:1,diyn,92,>abN,46,دِين,أَبٌ
2:1,<iy~aA,24,yuwqinu,12,إِيَّا,يُوقِنُ
2:1,<iy~aA,24,>aSam~,12,إِيَّا,أَصَمّ
2:1,<iy~aA,24,quTiEa,12,إِيَّا,قُطِعَ
2:1,<iy~aA,24,taw~aAb,12,إِيَّا,تَوَّاب
2:1,<iy~aA,24,>adonaY`,12,إِيَّا,أَدْنَىٰ
2:1,<iy~aA,24,saqaY`,12,إِيَّا,سَقَىٰ
2:1,<iy~aA,24,HaA^j~a,12,إِيَّا,حَا^جَّ
2:1,<iy~aA,24,>aEolan,12,إِيَّا,أَعْلَن
2:1,<iy~aA,24,<iHosa`n,12,إِيَّا,إِحْسَٰن
2:1,<iy~aA,24,m~anaEa,12,إِيَّا,مَّنَعَ
2:1,<iy~aA,24,<imaAm,12,إِيَّا,إِمَام
2:1,<iy~aA,24,<isomaAEiyl,12,إِيَّا,إِسْمَاعِيل
2:1,<iy~aA,24,zak~aY`,12,إِيَّا,زَكَّىٰ
2:1,<iy~aA,24,{SoTafaY`,12,إِيَّا,ٱصْطَفَىٰ
2:1,<iy~aA,24,Haniyf,12,إِيَّا,حَنِيف
2:1,<iy~aA,24,yunZaru,12,إِيَّا,يُنظَرُ
2:1,<iy~aA,24,laHom,12,إِيَّا,لَحْم
2:1,<iy~aA,24,HabiTa,12,إِيَّا,حَبِطَ
2:1,<iy~aA,24,>aroHaAm,12,إِيَّا,أَرْحَام
2:1,<iy~aA,24,yaHo*aru,12,إِيَّا,يَحْذَرُ
2:1,<iy~aA,24,faqiyr,12,إِيَّا,فَقِير
2:1,<iy~aA,24,<injiyl,12,إِيَّا,إِنجِيل
2:1,<iy~aA,24,Sal~aY`,12,إِيَّا,صَلَّىٰ
2:1,<iy~aA,24,Tiyn,12,إِيَّا,طِين
2:1,<iy~aA,24,>afowa`h,12,إِيَّا,أَفْوَٰه
2:1,<iy~aA,24,Ea`mil,12,إِيَّا,عَٰمِل
2:1,<iy~aA,24,qaEada,12,إِيَّا,قَعَدَ
2:1,<iy~aA,24,>axozayo,12,إِيَّا,أَخْزَيْ
2:1,<iy~aA,24,tadoriY,12,إِيَّا,تَدْرِى
2:1,<iy~aA,24,Halafo,12,إِيَّا,حَلَفْ
2:1,<iy~aA,24,HafiyZ,12,إِيَّا,حَفِيظ
2:1,<iy~aA,24,waqaEa,12,إِيَّا,وَقَعَ
2:1,<iy~aA,24,bariY^',12,إِيَّا,بَرِى^ء
2:1,<iy~aA,24,fatoH,12,إِيَّا,فَتْح
2:1,<iy~aA,24,qaT~aEa,12,إِيَّا,قَطَّعَ
2:1,<iy~aA,24,wizor,12,إِيَّا,وِزْر
2:1,<iy~aA,24,jaHadu,12,إِيَّا,جَحَدُ
2:1,<iy~aA,24,xa`liq,12,إِيَّا,خَٰلِق
2:1,<iy~aA,24,muEojiz,12,إِيَّا,مُعْجِز
2:1,<iy~aA,24,bada>a,12,إِيَّا,بَدَأَ
2:1,<iy~aA,24,>aworava,12,إِيَّا,أَوْرَثَ
2:1,<iy~aA,24,siniyn,12,إِيَّا,سِنِين
2:1,<iy~aA,24,xar~a,12,إِيَّا,خَرَّ
2:1,<iy~aA,24,masokan,12,إِيَّا,مَسْكَن
2:1,<iy~aA,24,{sota_#o*ana,12,إِيَّا,ٱسْتَـ#ْذَنَ
3:1,{som,39,mufoliHuwn,13,ٱسْم,مُفْلِحُون
3:1,{som,39,m~araD,13,ٱسْم,مَّرَض
3:1,{som,39,mad~a,13,ٱسْم,مَدَّ
3:1,{som,39,saw~aY`,13,ٱسْم,سَوَّىٰ
3:1,{som,39,>abaY,13,ٱسْم,أَبَى
3:1,{som,39,$afa`Eap,13,ٱسْم,شَفَٰعَة
3:1,{som,39,Harov,13,ٱسْم,حَرْث
3:1,{som,39,Huson,13,ٱسْم,حُسْن
3:1,{som,39,vala`vap,13,ٱسْم,ثَلَٰثَة
3:1,{som,39,qitaAl,13,ٱسْم,قِتَال
3:1,{som,39,tarab~aSo,13,ٱسْم,تَرَبَّصْ
3:1,{som,39,riDowa`n,13,ٱسْم,رِضْوَٰن
3:1,{som,39,gula`m,13,ٱسْم,غُلَٰم
3:1,{som,39,vawaAb,13,ٱسْم,ثَوَاب
3:1,{som,39,mavowFY,13,ٱسْم,مَثْوًى
3:1,{som,39,ga$iya,13,ٱسْم,غَشِيَ
3:1,{som,39,jamoE,13,ٱسْم,جَمْع
3:1,{som,39,gaAlib,13,ٱسْم,غَالِب
3:1,{som,39,yaSolaY,13,ٱسْم,يَصْلَى
3:1,{som,39,wariva,13,ٱسْم,وَرِثَ
3:1,{som,39,zaEama,13,ٱسْم,زَعَمَ
3:1,{som,39,{vonayon,13,ٱسْم,ٱثْنَيْن
3:1,{som,39,>aToEama,13,ٱسْم,أَطْعَمَ
3:1,{som,39,mak~a,13,ٱسْم,مَكَّ
3:1,{som,39,bagotap,13,ٱسْم,بَغْتَة
3:1,{som,39,n~ajom,13,ٱسْم,نَّجْم
3:1,{som,39,yaSifu,13,ٱسْم,يَصِفُ
3:1,{som,39,>asomaEa,13,ٱسْم,أَسْمَعَ
3:1,{som,39,Ha`fiZ,13,ٱسْم,حَٰفِظ
3:1,{som,39,SayoHap,13,ٱسْم,صَيْحَة
3:1,r~aHoma`n,57,$ajarap,19,رَّحْمَٰن,شَجَرَة
3:1,r~aHoma`n,57,muSad~iq,19,رَّحْمَٰن,مُصَدِّق
3:1,r~aHoma`n,57,m~uEoriDuwn,19,رَّحْمَٰن,مُّعْرِضُون
3:1,r~aHoma`n,57,yaDur~a,19,رَّحْمَٰن,يَضُرَّ
3:1,r~aHoma`n,57,>ayon,19,رَّحْمَٰن,أَيْن
3:1,r~aHoma`n,57,>aqorab,19,رَّحْمَٰن,أَقْرَب
3:1,r~aHoma`n,57,mar~ap,19,رَّحْمَٰن,مَرَّة
3:1,r~aHoma`n,57,Tayor,19,رَّحْمَٰن,طَيْر
3:1,r~aHoma`n,57,nafaxa,19,رَّحْمَٰن,نَفَخَ
3:1,r~aHoma`n,57,fawoz,19,رَّحْمَٰن,فَوْز
3:1,r~aHoma`n,57,yafoqahu,19,رَّحْمَٰن,يَفْقَهُ
3:1,r~aHoma`n,57,Dur~,19,رَّحْمَٰن,ضُرّ
3:1,r~aHoma`n,57,{sotaEojala,19,رَّحْمَٰن,ٱسْتَعْجَلَ
3:1,r~aHoma`n,57,ziynap,19,رَّحْمَٰن,زِينَة
3:1,r~aHoma`n,57,makor,19,رَّحْمَٰن,مَكْر
3:1,hadaY,144,baSar,48,هَدَى,بَصَر
3:1,hadaY,144,daAr,48,هَدَى,دَار
