count,root_a_buck,root_a_arabic,root_b_buck,root_b_arabic
201,jnn,جنن,End,عند
194,nwr,نور,Hsn,حسن
184,bny,بني,Hyy,حيي
170,Awl,اول,qtl,قتل
168,qlb,قلب,$rk,شرك
167,kvr,كثر,swA,سوا
160,$hd,شهد,nbA,نبا
158,bED,بعض,nSr,نصر
148,bSr,بصر,rwd,رود
140,nEm,نعم,slm,سلم
129,jmE,جمع,nZr,نظر
129,jmE,جمع,sAl,سال
129,jmE,جمع,TwE,طوع
129,nZr,نظر,sAl,سال
129,nZr,نظر,TwE,طوع
129,sAl,سال,TwE,طوع
127,xlf,خلف,Ahl,اهل
123,rzq,رزق,b$r,بشر
119,Amm,امم,Ezz,عزز
109,Akl,اكل,Hsb,حسب
108,fEl,فعل,Ajr,اجر
104,rjE,رجع,fDl,فضل
102,A*n,اذن,$dd,شدد
102,A*n,اذن,wld,ولد
102,$dd,شدد,wld,ولد
97,SHb,صحب,Ans,انس
96,qrb,قرب,bgy,بغي
96,qrb,قرب,Axw,اخو
96,bgy,بغي,Axw,اخو
92,sbH,سبح,sjd,سجد
92,sbH,سبح,lyl,ليل
92,sjd,سجد,lyl,ليل
88,$Tn,شطن,qrA,قرا
87,xld,خلد,twb,توب
83,swy,سوي,kyf,كيف
83,swy,سوي,Hrm,حرم
83,kyf,كيف,Hrm,حرم
78,wjh,وجه,wHy,وحي
77,Swb,صوب,blg,بلغ
75,Alm,الم,klm,كلم
75,Alm,الم,$kr,شكر
75,klm,كلم,$kr,شكر
73,bAs,باس,rDw,رضو
73,bAs,باس,byt,بيت
73,bAs,باس,rjl,رجل
73,bAs,باس,gny,غني
73,rDw,رضو,byt,بيت
73,rDw,رضو,rjl,رجل
73,rDw,رضو,gny,غني
73,byt,بيت,rjl,رجل
73,byt,بيت,gny,غني
73,rjl,رجل,gny,غني
70,mtE,متع,Erf,عرف
70,mtE,متع,Elw,علو
70,mtE,متع,wkl,وكل
70,Erf,عرف,Elw,علو
70,Erf,عرف,wkl,وكل
70,Elw,علو,wkl,وكل
69,skn,سكن,Znn,ظنن
68,wHd,وحد,hlk,هلك
67,bEv,بعث,ksb,كسب
66,wfy,وفي,jrm,جرم
65,xsr,خسر,Eyn,عين
64,jry,جري,Hml,حمل
61,zyd,زيد,mss,مسس
60,gyb,غيب,ftn,فتن
60,gyb,غيب,fry,فري
60,ftn,فتن,fry,فري
59,zkw,زكو,nsw,نسو
59,zkw,زكو,Zhr,ظهر
59,zkw,زكو,rdd,ردد
59,nsw,نسو,Zhr,ظهر
59,nsw,نسو,rdd,ردد
59,Zhr,ظهر,rdd,ردد
57,Edd,عدد,qry,قري
57,Edd,عدد,rwH,روح
57,qry,قري,rwH,روح
56,*hb,ذهب,nhy,نهي
56,*hb,ذهب,Ajl,اجل
56,nhy,نهي,Ajl,اجل
52,xbr,خبر,DEf,ضعف
51,tHt,تحت,Hll,حلل
50,fsd,فسد,Tyb,طيب
50,fsd,فسد,nfE,نفع
50,Tyb,طيب,nfE,نفع
49,Eql,عقل,swE,سوع
48,TEm,طعم,x$y,خشي
48,TEm,طعم,Avm,اثم
48,TEm,طعم,qdm,قدم
48,x$y,خشي,Avm,اثم
48,x$y,خشي,qdm,قدم
48,Avm,اثم,qdm,قدم
47,Ejl,عجل,krm,كرم
46,Ehd,عهد,zyn,زين
