rank,buckwalter,arabic,count
1,Alh,اله,2851
2,qwl,قول,1722
3,kwn,كون,1390
4,rbb,ربب,980
5,Amn,امن,879
6,Elm,علم,854
7,qwm,قوم,660
8,Aty,اتي,549
9,kfr,كفر,525
10,byn,بين,523
11,$yA,شيا,519
12,rsl,رسل,513
13,ArD,ارض,461
14,ywm,يوم,405
15,Ayy,ايي,382
16,smw,سمو,381
17,kll,كلل,377
18,E*b,عذب,373
19,Eml,عمل,360
20,jEl,جعل,346
21,rHm,رحم,339
22,rAy,راي,328
23,ktb,كتب,319
24,hdy,هدي,316
25,Zlm,ظلم,315
26,nfs,نفس,298
27,qbl,قبل,294
28,nzl,نزل,293
29,*kr,ذكر,292
30,Hqq,حقق,287
31,k*b,كذب,282
32,jyA,جيا,278
33,Ebd,عبد,275
34,Ax*,اخذ,273
35,xlq,خلق,261
36,wqy,وقي,258
37,Axr,اخر,250
38,Amr,امر,248
39,nws,نوس,241
40,bEd,بعد,235
41,gfr,غفر,234
42,wly,ولي,232
43,dEw,دعو,212
44,Hkm,حكم,210
45,mlk,ملك,206
46,jnn,جنن,201
47,End,عند,201
48,xyr,خير,196
49,nwr,نور,194
50,Hsn,حسن,194
51,Dll,ضلل,191
52,smE,سمع,185
53,bny,بني,184
54,Hyy,حيي,184
55,xrj,خرج,182
56,SlH,صلح,180
57,sbl,سبل,176
58,tbE,تبع,172
59,Awl,اول,170
60,qtl,قتل,170
61,mvl,مثل,169
62,qlb,قلب,168
63,$rk,شرك,168
64,kvr,كثر,167
65,swA,سوا,167
66,mwt,موت,165
67,kbr,كبر,161
68,$hd,شهد,160
69,nbA,نبا,160
70,bED,بعض,158
71,nSr,نصر,158
72,Sdq,صدق,155
73,gyr,غير,154
74,wEd,وعد,151
75,bSr,بصر,148
76,rwd,رود,148
77,lqy,لقي,146
78,dwn,دون,144
79,nEm,نعم,140
80,slm,سلم,140
81,dnw,دنو,133
82,qdr,قدر,132
83,n*r,نذر,130
84,jmE,جمع,129
85,nZr,نظر,129
86,sAl,سال,129
87,TwE,طوع,129
88,EZm,عظم,128
89,xlf,خلف,127
90,Ahl,اهل,127
91,dxl,دخل,126
92,xwf,خوف,124
93,rzq,رزق,123
94,b$r,بشر,123
95,ydy,يدي,120
96,Amm,امم,119
97,Ezz,عزز,119
98,jzy,جزي,118
99,Abw,ابو,117
100,nhr,نهر,113
101,nfq,نفق,111
102,Akl,اكل,109
103,Hsb,حسب,109
104,fEl,فعل,108
105,Ajr,اجر,108
106,wjd,وجد,107
107,Edw,عدو,106
108,rjE,رجع,104
109,fDl,فضل,104
110,Sbr,صبر,103
111,A*n,اذن,102
112,$dd,شدد,102
113,wld,ولد,102
114,dyn,دين,101
115,Slw,صلو,99
116,SHb,صحب,97
117,Ans,انس,97
118,qrb,قرب,96
119,bgy,بغي,96
120,Axw,اخو,96
121,Hbb,حبب,95
122,sbH,سبح,92
123,sjd,سجد,92
124,lyl,ليل,92
125,lys,ليس,89
126,$Tn,شطن,88
127,qrA,قرا,88
128,xld,خلد,87
129,twb,توب,87
130,mwl,مول,86
131,AHd,احد,85
132,njw,نجو,84
133,swy,سوي,83
134,kyf,كيف,83
135,Hrm,حرم,83
136,zwj,زوج,81
137,Eqb,عقب,80
138,ErD,عرض,79
139,wjh,وجه,78
140,wHy,وحي,78
141,Swb,صوب,77
142,blg,بلغ,77
143,qll,قلل,76
144,Alm,الم,75
145,klm,كلم,75
146,$kr,شكر,75
147,Drr,ضرر,74
148,bAs,باس,73
149,rDw,رضو,73
150,byt,بيت,73
151,rjl,رجل,73
152,gny,غني,73
153,frq,فرق,72
154,ymn,يمن,71
155,mtE,متع,70
156,Erf,عرف,70
157,Elw,علو,70
158,wkl,وكل,70
159,skn,سكن,69
160,Znn,ظنن,69
161,wHd,وحد,68
162,hlk,هلك,68
163,bEv,بعث,67
164,ksb,كسب,67
165,wfy,وفي,66
166,jrm,جرم,66
167,xsr,خسر,65
168,Eyn,عين,65
169,jry,جري,64
170,Hml,حمل,64
171,Hmd,حمد,63
172,mwh,موه,63
173,tlw,تلو,63
174,sHr,سحر,63
175,qDy,قضي,63
176,Ewd,عود,63
177,*wq,ذوق,63
178,zyd,زيد,61
179,mss,مسس,61
180,gyb,غيب,60
181,ftn,فتن,60
182,fry,فري,60
183,zkw,زكو,59
184,nsw,نسو,59
185,Zhr,ظهر,59
186,rdd,ردد,59
187,Drb,ضرب,58
188,Edd,عدد,57
189,qry,قري,57
190,rwH,روح,57
191,*hb,ذهب,56
192,nhy,نهي,56
193,Ajl,اجل,56
194,dwr,دور,55
195,fsq,فسق,54
196,ndw,ندو,53
197,xbr,خبر,52
198,DEf,ضعف,52
199,tHt,تحت,51
200,Hll,حلل,51
201,fsd,فسد,50
202,Tyb,طيب,50
203,nfE,نفع,50
204,Eql,عقل,49
205,swE,سوع,49
206,TEm,طعم,48
207,x$y,خشي,48
208,Avm,اثم,48
209,qdm,قدم,48
210,Ejl,عجل,47
211,krm,كرم,47
212,Ehd,عهد,46
213,zyn,زين,46
214,Sdr,صدر,46
215,SrT,صرط,45
216,nsy,نسي,45
217,w*r,وذر,45
218,SbH,صبح,45
219,bdl,بدل,44
220,srr,سرر,44
221,ysr,يسر,44
222,HfZ,حفظ,44
223,dbr,دبر,44
224,trk,ترك,43
225,fwq,فوق,43
226,jwb,جوب,43
227,H$r,حشر,43
228,fSl,فصل,43
229,mkr,مكر,43
230,Hzn,حزن,42
231,bHr,بحر,42
232,qwy,قوي,42
233,sxr,سخر,42
234,Sdd,صدد,42
235,lEn,لعن,41
236,Twf,طوف,41
237,krh,كره,41
238,jhd,جهد,41
239,jbl,جبل,41
240,flH,فلح,40
241,$Er,شعر,40
242,mlA,ملا,40
243,Tgy,طغي,39
244,$rb,شرب,39
245,*nb,ذنب,39
246,slT,سلط,39
247,qrr,قرر,38
248,blw,بلو,38
249,ftH,فتح,38
250,hwy,هوي,38
251,mrA,مرا,38
252,*rr,ذرر,38
253,sbq,سبق,37
254,Alw,الو,37
255,nkr,نكر,37
256,ryb,ريب,36
257,qTE,قطع,36
258,bTl,بطل,36
259,Hdv,حدث,36
260,Any,اني,36
261,Awy,اوي,36
262,qrn,قرن,36
263,Hyn,حين,35
264,Efw,عفو,35
265,gfl,غفل,35
266,mrr,مرر,35
267,wrv,ورث,35
268,kyd,كيد,35
269,hzA,هزا,34
270,wvq,وثق,34
271,jnH,جنح,34
272,xfy,خفي,34
273,Emy,عمي,33
274,Zll,ظلل,33
275,Hjj,حجج,33
276,kfy,كفي,33
277,$ms,شمس,33
278,Er$,عرش,33
279,jnb,جنب,33
