surah,verse,meccan_medinan,length_letters,length_words,rhyme_letter,position_class,tags_count,tags_list,characterization
1,1,meccan,19,4,م,opening,42,balagha;basmala;code19-audit;color;contains-basmala;deep-hypothesis;divine-name-cluster;divine-name-pair-ending;divine-names;divine-names(3);divine-names-topic;dual-form-topic;ends-divine-pair;famous:basmala;fatiha;fatiha-finding;gematria;ikhlas-muawwidhat-finding;info-theory;jesus-engagement;jinas;maryam-finding;meccan;mentions-Allah;muqattaat;numerical-coincidence;numerical-sequence;palindrome;phonaesthetic;pos-opening;rahman-finding;rhetorical-Q-topic;rhyme-deviation;rhyme-م;saj-rhyme;self-reference;surah-1;surah-boundary;surah-opener;ultra-short;vocative-topic;zipf,Declares or asserts
1,2,meccan,18,4,ن,middle,33,ayat-al-kursi-finding;chiastic;cosmology-audit;crypto-signature;deep-hypothesis;divine-names;divine-names(1);earth-sciences-audit;fatiha;fatiha-finding;ikhlas-muawwidhat-finding;ilm-al-harf;info-theory;kahf-finding;meccan;metal-mineral;moses-finding;mutashabih-lafzi;numerical-coincidence;paired-opposite;phonaesthetic;pos-middle;prophecy-audit;prophet-pericope;rhyme-conforming;rhyme-ن;saj-rhyme;scholar-commentary;surah-1;surah-boundary;surah-ending;ultra-short;zipf,Describes the divine self
1,3,meccan,12,2,م,middle,32,chiastic;cross-textual;deep-hypothesis;divine-name-pair-ending;divine-names;divine-names(2);divine-names-topic;emotion;ends-divine-pair;fatiha;form-content-outlier;gematria;ilm-al-harf;jinas;kahf-finding;maryam-finding;meccan;muqattaat;numerical-coincidence;paired-opposite;phonaesthetic;pos-middle;quotation-topic;rahma-baseline;rhyme-deviation;rhyme-م;ring-center;self-reference;surah-1;surah-boundary;ultra-short;zipf,Declares or asserts
1,4,meccan,12,3,ن,middle,35,angel;balagha;chiastic;cross-textual;deep-hypothesis;fatiha;hadid-finding;ikhlas-muawwidhat-finding;ilm-al-harf;iltifat-topic;imperative-topic;info-theory;meccan;metal-mineral;muqattaat;muqattaat-gradient;numerical-coincidence;paired-opposite;phonaesthetic;pos-middle;prime-mod;quotation-topic;rahma-baseline;razi-99names;rhetorical-Q-topic;rhyme-conforming;rhyme-ن;root-cartography;saj-rhyme;scientific-foreknowledge;surah-1;surah-boundary;ultra-short;yawm;zipf,Declares or asserts
1,5,meccan,19,4,ن,middle,35,angel;chrono-critical;code19-audit;convergence;covenant;cross-textual;deep-hypothesis;dual-form-topic;earth-sciences-audit;fatiha;fatiha-finding;form-content-outlier;gematria;iltifat;iltifat-topic;kahf-finding;meccan;moses-finding;muqattaat;muqattaat-gradient;numerical-coincidence;numerical-sequence;oath-topic;paired-opposite;pos-middle;prime-mod;prophet-micro-ring;rahma-baseline;rhyme-conforming;rhyme-ن;saj-rhyme;surah-1;surah-boundary;ultra-short;zipf,Issues an imperative command
1,6,meccan,19,3,م,late,20,divine-names-topic;earth-sciences-audit;fatiha;fatiha-finding;iltifat;imperative;jinn;kahf-finding;meccan;middle-ayah;numerical-coincidence;paired-opposite;phonaesthetic;pos-late;rhyme-deviation;rhyme-م;surah-1;ultra-short;yawm;zipf,Declares or asserts
1,7,meccan,44,9,ن,closing,26,chrono-critical;cross-textual;emotion;famous:fatiha-closing;fatiha;fatiha-finding;form-content-outlier;gematria;hapax;ilm-al-harf;iltifat;info-theory;meccan;negation;numerical-coincidence;paired-opposite;phonaesthetic;pos-closing;prime-mod;rhyme-conforming;rhyme-ن;saj-rhyme;short;surah-1;surah-closer;zipf,Declares or asserts
2,1,medinan,3,1,م,opening,21,cross-textual;ikhlas-muawwidhat-finding;loan-word;medinan;medinan-transition;muhkam-mutashabih;muqatta-opener;muqattaat-opener;numerical-coincidence;pos-opening;prophet-pericope;razi-99names;rhyme-deviation;rhyme-م;saj-rhyme;surah-2;surah-boundary;surah-opener;ultra-short;word-pair;yawm,Utters disconnected letters
2,2,medinan,27,7,ن,early,21,asbab-nuzul;cross-textual;divine-names-topic;dual-form-topic;gematria;hadid-finding;imperative-topic;medinan;nafs-theology;negation;numerical-coincidence;paired-opposite;pos-early;quotation-topic;rhyme-conforming;rhyme-ن;saj-rhyme;self-reference;short;surah-2;vocative-topic,Issues a negative command
2,3,medinan,47,8,ن,early,14,gematria;iltifat;medinan;muhkam-mutashabih;numerical-coincidence;paired-opposite;pos-early;prophecy-audit;quotation-topic;rhyme-conforming;rhyme-ن;short;surah-2;surah-ending,Issues an imperative command
