surah,verse,translation_preview
2,175,Those are the ones who have exchanged guidance for error and forgiveness for punishment. How patient they are in pursuit of the Fire!
2,241,And for divorced women is a provision according to what is acceptable - a duty upon the righteous.
3,90,"Indeed, those who reject the message after their belief and then increase in disbelief - never will their [claimed] repentance be accepted, and they are the one"
3,143,"And you had certainly wished for martyrdom before you encountered it, and you have [now] seen it [before you] while you were looking on."
4,55,"And some among them believed in it, and some among them were averse to it. And sufficient is Hell as a blaze."
4,112,But whoever earns an offense or a sin and then blames it on an innocent [person] has taken upon himself a slander and manifest sin.
4,121,"The refuge of those will be Hell, and they will not find from it an escape."
4,124,"And whoever does righteous deeds, whether male or female, while being a believer - those will enter Paradise and will not be wronged, [even as much as] the spec"
5,37,"They will wish to get out of the Fire, but never are they to emerge therefrom, and for them is an enduring punishment."
6,87,And [some] among their fathers and their descendants and their brothers - and We chose them and We guided them to a straight path.
6,131,That is because your Lord would not destroy the cities for wrongdoing while their people were unaware.
6,132,And for all are degrees from what they have done. And your Lord is not unaware of what they do.
7,78,"So the earthquake seized them, and they became within their home [corpses] fallen prone."
7,91,"So the earthquake seized them, and they became within their home [corpses] fallen prone."
7,92,Those who denied Shu'ayb - it was as though they had never resided there. Those who denied Shu'ayb - it was they who were the losers.
7,167,And [mention] when your Lord declared that He would surely [continue to] send upon them until the Day of Resurrection those who would afflict them with the wors
7,192,"And the false deities are unable to [give] them help, nor can they help themselves."
9,88,"But the Messenger and those who believed with him fought with their wealth and their lives. Those will have [all that is] good, and it is those who are the succ"
10,8,For those their refuge will be the Fire because of what they used to earn.
10,40,"And of them are those who believe in it, and of them are those who do not believe in it. And your Lord is most knowing of the corrupters"
10,54,"And if each soul that wronged had everything on earth, it would offer it in ransom. And they will confide regret when they see the punishment; and they will be "
10,96,"Indeed, those upon whom the word of your Lord has come into effect will not believe,"
10,97,"Even if every sign should come to them, until they see the painful punishment."
11,16,"Those are the ones for whom there is not in the Hereafter but the Fire. And lost is what they did therein, and worthless is what they used to do."
11,23,"Indeed, they who have believed and done righteous deeds and humbled themselves to their Lord - those are the companions of Paradise; they will abide eternally t"
11,36,"And it was revealed to Noah that, ""No one will believe from your people except those who have already believed, so do not be distressed by what they have been d"
11,60,"And they were [therefore] followed in this world with a curse and [as well] on the Day of Resurrection. Unquestionably, 'Aad denied their Lord; then away with '"
11,68,"As if they had never prospered therein. Unquestionably, Thamud denied their Lord; then, away with Thamud."
11,75,"Indeed, Abraham was forbearing, grieving and [frequently] returning [to Allah]."
